function,group,item,no,no_nas,qual_id,su_qual_id,visible,skey_sid_hex,qual_sid_hex,qual_lid_hex,param_unit,param_data_type,param_byte_pos,param_byte_len,param_byte_ord,param_bit_pos,param_bit_len,param_bit_mask,scale_no,scale_up_bound,scale_low_bound,scale_range_id,scale_range_label,scale_factor,scale_offset,scale_format,scale_labels
Data List,All data,Steering wheel angle offset,1,49,350,351,1,0x42FC71,0x22,0x4B36,deg,0,3,1,2,-1,-1,-1,1,0,0,0,,0.2,-25.4,1,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Steering angle,2,48,27,122,1,0x42FC71,0x22,0x100,deg,0,3,2,2,-1,-1,-1,1,0,0,0,,0.1,-3276.7,1,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Battery voltage,3,5,28,124,1,0x42FC71,0x22,0x12F,V,0,3,1,2,-1,-1,-1,1,0,0,0,,0.1,0,1,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,FR LH wheel speed,4,20,29,135,1,0x42FC71,0x22,0x4B00,km/h,0,3,2,2,-1,-1,-1,1,0,0,0,,0.01,0,2,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,FR RH wheel speed,5,23,30,136,1,0x42FC71,0x22,0x4B01,km/h,0,3,2,2,-1,-1,-1,1,0,0,0,,0.01,0,2,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,RR LH wheel speed,6,42,31,137,1,0x42FC71,0x22,0x4B02,km/h,0,3,2,2,-1,-1,-1,1,0,0,0,,0.01,0,2,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,RR RH wheel speed,7,45,32,138,1,0x42FC71,0x22,0x4B03,km/h,0,3,2,2,-1,-1,-1,1,0,0,0,,0.01,0,2,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Vehicle speed,8,52,33,139,1,0x42FC71,0x22,0x4B04,km/h,0,3,2,2,-1,-1,-1,1,0,0,0,,0.01,0,2,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Odometer,9,30,34,140,1,0x42FC71,0x22,0x4B06,m,0,3,4,2,-1,-1,-1,1,0,0,0,,10,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Decel G sensor,10,12,35,141,1,0x42FC71,0x22,0x4B07,m/s^2,0,3,1,2,-1,-1,-1,1,0,0,0,,0.1,-12.7,1,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Side G sensor,11,46,36,142,1,0x42FC71,0x22,0x4B0B,G,0,3,1,2,-1,-1,-1,1,0,0,0,,0.02,-2.54,2,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Yaw rate sensor,12,55,37,143,1,0x42FC71,0x22,0x4B0C,deg/s,0,3,2,2,-1,-1,-1,1,0,0,0,,0.1,-100,1,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Master cylinder pressure,13,29,38,144,1,0x42FC71,0x22,0x4B0E,bar,0,3,1,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,"Valve, pump motor",14,51,39,145,1,0x42FC71,0x22,0x4B12,,1,4,1,2,6,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Data List,All data,FL/RR valve,15,17,40,145,1,0x42FC71,0x22,0x4B12,,1,4,1,2,3,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
