function,group,item,no,no_nas,qual_id,su_qual_id,visible,skey_sid_hex,qual_sid_hex,qual_lid_hex,param_unit,param_data_type,param_byte_pos,param_byte_len,param_byte_ord,param_bit_pos,param_bit_len,param_bit_mask,scale_no,scale_up_bound,scale_low_bound,scale_range_id,scale_range_label,scale_factor,scale_offset,scale_format,scale_labels
Data List,All data,Driver seat belt SW,1,8,9,32,1,0x6B4A5929,0x22,0x2001,,1,4,1,2,6,2,-1,1,0,0,7000008,Not suprt,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 7000008, 'range_label': 'Not suprt'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 7000009, 'range_label': 'Unfasten'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 7000007, 'range_label': 'Fasten'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 7000760, 'range_label': 'Unknown'}]"
Data List,All data,Passenger seat belt SW,2,20,10,32,1,0x6B4A5929,0x22,0x2001,,1,4,1,2,4,2,-1,1,0,0,7000008,Not suprt,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 7000008, 'range_label': 'Not suprt'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 7000009, 'range_label': 'Unfasten'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 7000007, 'range_label': 'Fasten'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 7000760, 'range_label': 'Unknown'}]"
Data List,All data,2nd row center seat belt SW,3,2,11,32,1,0x6B4A5929,0x22,0x2001,,1,4,1,2,2,2,-1,1,0,0,7000008,Not suprt,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 7000008, 'range_label': 'Not suprt'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 7000009, 'range_label': 'Unfasten'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 7000007, 'range_label': 'Fasten'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 7000760, 'range_label': 'Unknown'}]"
Data List,All data,2nd row RH seat belt SW,4,4,12,32,1,0x6B4A5929,0x22,0x2001,,1,4,1,2,0,2,-1,1,0,0,7000008,Not suprt,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 7000008, 'range_label': 'Not suprt'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 7000009, 'range_label': 'Unfasten'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 7000007, 'range_label': 'Fasten'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 7000760, 'range_label': 'Unknown'}]"
Data List,All data,2nd row LH seat belt SW,5,3,13,32,1,0x6B4A5929,0x22,0x2001,,1,5,1,2,6,2,-1,1,0,0,7000008,Not suprt,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 7000008, 'range_label': 'Not suprt'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 7000009, 'range_label': 'Unfasten'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 7000007, 'range_label': 'Fasten'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 7000760, 'range_label': 'Unknown'}]"
Data List,All data,3rd row LH seat belt SW,6,6,14,32,1,0x6B4A5929,0x22,0x2001,,1,5,1,2,4,2,-1,1,0,0,7000008,Not suprt,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 7000008, 'range_label': 'Not suprt'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 7000009, 'range_label': 'Unfasten'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 7000007, 'range_label': 'Fasten'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 7000760, 'range_label': 'Unknown'}]"
Data List,All data,3rd row RH seat belt SW,7,7,15,32,1,0x6B4A5929,0x22,0x2001,,1,5,1,2,2,2,-1,1,0,0,7000008,Not suprt,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 7000008, 'range_label': 'Not suprt'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 7000009, 'range_label': 'Unfasten'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 7000007, 'range_label': 'Fasten'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 7000760, 'range_label': 'Unknown'}]"
Data List,All data,3rd row center seat belt SW,8,5,16,32,1,0x6B4A5929,0x22,0x2001,,1,5,1,2,0,2,-1,1,0,0,7000008,Not suprt,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 7000008, 'range_label': 'Not suprt'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 7000009, 'range_label': 'Unfasten'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 7000007, 'range_label': 'Fasten'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 7000760, 'range_label': 'Unknown'}]"
Data List,All data,Driver seat belt SW diag,9,9,17,32,1,0x6B4A5929,0x22,0x2001,,1,6,1,2,6,2,-1,1,0,0,7000008,Not suprt,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 7000008, 'range_label': 'Not suprt'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 7000009, 'range_label': 'Unfasten'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 7000007, 'range_label': 'Fasten'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 7000759, 'range_label': 'Malfunct'}]"
Data List,All data,Passenger seat belt SW diag,10,21,18,32,1,0x6B4A5929,0x22,0x2001,,1,6,1,2,4,2,-1,1,0,0,7000008,Not suprt,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 7000008, 'range_label': 'Not suprt'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 7000009, 'range_label': 'Unfasten'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 7000007, 'range_label': 'Fasten'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 7000759, 'range_label': 'Malfunct'}]"
