function,group,item,no,no_nas,qual_id,su_qual_id,visible,skey_sid_hex,qual_sid_hex,qual_lid_hex,param_unit,param_data_type,param_byte_pos,param_byte_len,param_byte_ord,param_bit_pos,param_bit_len,param_bit_mask,scale_no,scale_up_bound,scale_low_bound,scale_range_id,scale_range_label,scale_factor,scale_offset,scale_format,scale_labels
Data List,All data,LCU_STATE,1,15,2,0,1,0x3BD081,0x22,0x330,,1,3,1,2,7,1,-1,1,0,0,8001707,No fail,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 8001707, 'range_label': 'No fail'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 8001708, 'range_label': 'Fail'}]"
Data List,All data,LCU_STATE(Error checksum),2,18,3,0,1,0x3BD081,0x22,0x330,,1,3,1,2,6,1,-1,1,0,0,1100004,OK,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1100004, 'range_label': 'OK'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 22900839, 'range_label': 'NG'}]"
Data List,All data,LCU_STATE(Adaptive LED Headlight (ALH) driver right CAN status),3,17,4,0,1,0x3BD081,0x22,0x330,,1,3,1,2,5,1,-1,1,0,0,1100004,OK,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1100004, 'range_label': 'OK'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 22900839, 'range_label': 'NG'}]"
Data List,All data,LCU_STATE(Adaptive LED Headlight (ALH) driver left CAN status),4,16,5,0,1,0x3BD081,0x22,0x330,,1,3,1,2,4,1,-1,1,0,0,1100004,OK,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1100004, 'range_label': 'OK'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 22900839, 'range_label': 'NG'}]"
Data List,All data,Failure_Status_Flag_Adaptive LED Headlight (ALH)_Driver,5,1,6,0,1,0x3BD081,0x22,0x357,,1,3,1,2,0,2,-1,1,0,0,8001709,Available,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 8001709, 'range_label': 'Available'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 8002035, 'range_label': 'Right driver unavailable'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 8002036, 'range_label': 'Left driver unavailable'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 8001541, 'range_label': 'Unavailable'}]"
Data List,All data,LCU_CANFailureFlag(BCM unavailable flag),6,9,7,0,1,0x3BD081,0x22,0x359,,1,3,1,2,7,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Data List,All data,LCU_CANFailureFlag(USM unavailable flag),7,14,8,0,1,0x3BD081,0x22,0x359,,1,3,1,2,6,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Data List,All data,LCU_CANFailureFlag(FCAM unavailable flag),8,10,9,0,1,0x3BD081,0x22,0x359,,1,3,1,2,5,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Data List,All data,LCU_CANFailureFlag(HEVC unavailable flag),9,11,10,0,1,0x3BD081,0x22,0x359,,1,3,1,2,4,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Data List,All data,LCU_CANFailureFlag(ATCU unavailable flag),10,8,11,0,1,0x3BD081,0x22,0x359,,1,3,1,2,3,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Data List,All data,LCU_CANFailureFlag(ASC unavailable flag),11,7,12,0,1,0x3BD081,0x22,0x359,,1,3,1,2,2,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Data List,All data,LCU_CANFailureFlag(IVI unavailable flag),12,13,13,0,1,0x3BD081,0x22,0x359,,1,3,1,2,1,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Data List,All data,LCU_CANFailureFlag(IDM unavailable flag),13,12,14,0,1,0x3BD081,0x22,0x359,,1,3,1,2,0,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
