function,group,item,no,no_nas,qual_id,su_qual_id,visible,skey_sid_hex,qual_sid_hex,qual_lid_hex,param_unit,param_data_type,param_byte_pos,param_byte_len,param_byte_ord,param_bit_pos,param_bit_len,param_bit_mask,scale_no,scale_up_bound,scale_low_bound,scale_range_id,scale_range_label,scale_factor,scale_offset,scale_format,scale_labels
Data List,All data,ANC OPERATING CONDITION,1,1,5,10,1,0x769D88F5,0x22,0x1101,,1,3,1,2,0,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Data List,All data,ASC OPERATING CONDITION,2,2,6,11,1,0x769D88F5,0x22,0x1102,,1,3,1,2,0,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Data List,All data,ENGINE SPEED,3,4,7,12,1,0x769D88F5,0x22,0x1103,r/min,0,3,2,2,-1,-1,-1,1,0,0,0,,0.125,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Vehicle Speed,4,5,8,14,1,0x769D88F5,0x22,0x1107,km/h,0,3,2,2,-1,-1,-1,1,0,0,0,,0.01,0,2,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,DOOR STATUS,5,3,9,13,1,0x769D88F5,0x22,0x1104,,1,3,1,2,0,2,-1,1,0,0,42000019,Initial state,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 42000019, 'range_label': 'Initial state'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 58000016, 'range_label': 'Open'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 58000015, 'range_label': 'Close'}]"
Data gathering,,Data(DA00),1,1,30,0,1,0x769D88F5,0x22,0xDA00,,0,0,318,2,-1,-1,-1,,,,,,,,,[]
Data gathering,,Data(DA10),2,2,31,0,1,0x769D88F5,0x22,0xDA10,,0,0,71,2,-1,-1,-1,,,,,,,,,[]
Data gathering,,Data(DA11),3,3,32,0,1,0x769D88F5,0x22,0xDA11,,0,0,71,2,-1,-1,-1,,,,,,,,,[]
Data gathering,,Data(DA12),4,4,33,0,1,0x769D88F5,0x22,0xDA12,,0,0,71,2,-1,-1,-1,,,,,,,,,[]
Data gathering,,Data(DA13),5,5,34,0,1,0x769D88F5,0x22,0xDA13,,0,0,71,2,-1,-1,-1,,,,,,,,,[]
