function,group,item,no,no_nas,qual_id,su_qual_id,visible,skey_sid_hex,qual_sid_hex,qual_lid_hex,param_unit,param_data_type,param_byte_pos,param_byte_len,param_byte_ord,param_bit_pos,param_bit_len,param_bit_mask,scale_no,scale_up_bound,scale_low_bound,scale_range_id,scale_range_label,scale_factor,scale_offset,scale_format,scale_labels
Data List,All data,SET AIR PRESSURE 1 FL,1,57,2,93,1,0x684F6B65,0x22,0x4200,mbar,0,3,2,2,-1,-1,-1,1,0,0,0,,7.5,0,1,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,SET AIR PRESSURE 1 FR,2,58,3,94,1,0x684F6B65,0x22,0x4201,mbar,0,3,2,2,-1,-1,-1,1,0,0,0,,7.5,0,1,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,SET AIR PRESSURE 1 RR,3,60,4,95,1,0x684F6B65,0x22,0x4202,mbar,0,3,2,2,-1,-1,-1,1,0,0,0,,7.5,0,1,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,SET AIR PRESSURE 1 RL,4,59,5,96,1,0x684F6B65,0x22,0x4203,mbar,0,3,2,2,-1,-1,-1,1,0,0,0,,7.5,0,1,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Set temperature-FL,5,65,6,97,1,0x684F6B65,0x22,0x4208,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-30,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Set temperature-FR,6,66,7,98,1,0x684F6B65,0x22,0x4209,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-30,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Set temperature-RR,7,68,8,99,1,0x684F6B65,0x22,0x420A,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-30,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Set temperature-RL,8,67,9,100,1,0x684F6B65,0x22,0x420B,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-30,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,TPMS SET SWITCH,9,81,10,91,1,0x684F6B65,0x22,0x40E5,,1,3,1,2,7,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Data List,All data,Tyre status-FL,10,73,11,92,1,0x684F6B65,0x22,0x40E8,,0,3,1,2,-1,-1,-1,1,0,0,9100094,Normal,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 9100094, 'range_label': 'Normal'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 8000584, 'range_label': 'MALF 1'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 8000585, 'range_label': 'MALF 2'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 8000586, 'range_label': 'MALF 3'}, {'no': 5, 'up_bound': 4, 'low_bound': 4, 'range_id': 8000587, 'range_label': 'MALF 4'}]"
Data List,All data,Tyre status-FR,11,74,12,92,1,0x684F6B65,0x22,0x40E8,,0,4,1,2,-1,-1,-1,1,0,0,9100094,Normal,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 9100094, 'range_label': 'Normal'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 8000584, 'range_label': 'MALF 1'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 8000585, 'range_label': 'MALF 2'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 8000586, 'range_label': 'MALF 3'}, {'no': 5, 'up_bound': 4, 'low_bound': 4, 'range_id': 8000587, 'range_label': 'MALF 4'}]"
Data List,All data,Tyre status-RR,12,76,13,92,1,0x684F6B65,0x22,0x40E8,,0,5,1,2,-1,-1,-1,1,0,0,9100094,Normal,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 9100094, 'range_label': 'Normal'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 8000584, 'range_label': 'MALF 1'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 8000585, 'range_label': 'MALF 2'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 8000586, 'range_label': 'MALF 3'}, {'no': 5, 'up_bound': 4, 'low_bound': 4, 'range_id': 8000587, 'range_label': 'MALF 4'}]"
Data List,All data,Tyre status-RL,13,75,14,92,1,0x684F6B65,0x22,0x40E8,,0,6,1,2,-1,-1,-1,1,0,0,9100094,Normal,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 9100094, 'range_label': 'Normal'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 8000584, 'range_label': 'MALF 1'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 8000585, 'range_label': 'MALF 2'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 8000586, 'range_label': 'MALF 3'}, {'no': 5, 'up_bound': 4, 'low_bound': 4, 'range_id': 8000587, 'range_label': 'MALF 4'}]"
Data List,All data,Vehicle speed,14,85,15,139,1,0x684F6B65,0x22,0x6205,km/h,0,3,1,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,AIR PRESS FL,15,1,16,140,1,0x684F6B65,0x22,0x6300,mbar,0,3,2,2,-1,-1,-1,1,0,0,0,,7.5,0,1,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,AIR PRESS FR,16,2,17,141,1,0x684F6B65,0x22,0x6301,mbar,0,3,2,2,-1,-1,-1,1,0,0,0,,7.5,0,1,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,AIR PRESS RR,17,4,18,142,1,0x684F6B65,0x22,0x6302,mbar,0,3,2,2,-1,-1,-1,1,0,0,0,,7.5,0,1,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,AIR PRESS RL,18,3,19,143,1,0x684F6B65,0x22,0x6303,mbar,0,3,2,2,-1,-1,-1,1,0,0,0,,7.5,0,1,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,TYRE TEMPERATURE FL,19,77,20,152,1,0x684F6B65,0x22,0x6310,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-30,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,TYRE TEMPERATURE FR,20,78,21,153,1,0x684F6B65,0x22,0x6311,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-30,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,TYRE TEMPERATURE RR,21,80,22,154,1,0x684F6B65,0x22,0x6312,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-30,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,TYRE TEMPERATURE RL,22,79,23,155,1,0x684F6B65,0x22,0x6313,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-30,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,SET AIR PRESSURE 2 FL,23,61,24,144,1,0x684F6B65,0x22,0x6308,mbar,0,3,2,2,-1,-1,-1,1,0,0,0,,7.5,0,1,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,SET AIR PRESSURE 2 FR,24,62,25,145,1,0x684F6B65,0x22,0x6309,mbar,0,3,2,2,-1,-1,-1,1,0,0,0,,7.5,0,1,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,SET AIR PRESSURE 2 RR,25,64,26,146,1,0x684F6B65,0x22,0x630A,mbar,0,3,2,2,-1,-1,-1,1,0,0,0,,7.5,0,1,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,SET AIR PRESSURE 2 RL,26,63,27,147,1,0x684F6B65,0x22,0x630B,mbar,0,3,2,2,-1,-1,-1,1,0,0,0,,7.5,0,1,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,WARNING AIR PRESSURE FL,27,86,28,148,1,0x684F6B65,0x22,0x630C,mbar,0,3,2,2,-1,-1,-1,1,0,0,0,,7.5,0,1,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,WARNING AIR PRESSURE FR,28,87,29,149,1,0x684F6B65,0x22,0x630D,mbar,0,3,2,2,-1,-1,-1,1,0,0,0,,7.5,0,1,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,WARNING AIR PRESSURE RR,29,89,30,150,1,0x684F6B65,0x22,0x630E,mbar,0,3,2,2,-1,-1,-1,1,0,0,0,,7.5,0,1,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,WARNING AIR PRESSURE RL,30,88,31,151,1,0x684F6B65,0x22,0x630F,mbar,0,3,2,2,-1,-1,-1,1,0,0,0,,7.5,0,1,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Paddle shift switch (-),31,45,32,101,1,0x684F6B65,0x22,0x6074,,1,3,1,2,7,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Data List,All data,Paddle shift switch (+),32,46,33,102,1,0x684F6B65,0x22,0x6075,,1,3,1,2,7,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Data List,All data,HAZARD SW,33,36,34,103,1,0x684F6B65,0x22,0x6086,,1,3,1,2,7,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Data List,All data,Door switch AS,34,25,35,104,1,0x684F6B65,0x22,0x6097,,1,3,1,2,7,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Data List,All data,Optical sensor,35,44,36,105,1,0x684F6B65,0x22,0x6098,,0,3,2,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Power liftgate/trunk opener switch,36,49,37,106,1,0x684F6B65,0x22,0x6099,,1,3,1,2,7,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Data List,All data,Request switch BD/TR,37,55,38,107,1,0x684F6B65,0x22,0x609A,,1,3,1,2,7,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
