function,group,item,no,no_nas,qual_id,su_qual_id,visible,skey_sid_hex,qual_sid_hex,qual_lid_hex,param_unit,param_data_type,param_byte_pos,param_byte_len,param_byte_ord,param_bit_pos,param_bit_len,param_bit_mask,scale_no,scale_up_bound,scale_low_bound,scale_range_id,scale_range_label,scale_factor,scale_offset,scale_format,scale_labels
Data List,All data,Virgin flag,1,22,7,29,1,0x71D8D42D,0x22,0x100,,0,3,1,2,-1,-1,-1,1,0,0,8001026,VIRGIN,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 8001026, 'range_label': 'VIRGIN'}, {'no': 2, 'up_bound': 255, 'low_bound': 1, 'range_id': 3000187, 'range_label': 'NORMAL'}]"
Data List,All data,APC Hard Wire Status,2,1,8,30,1,0x71D8D42D,0x22,0x111,,1,3,1,2,5,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Data List,All data,Gateway Mode,3,3,9,30,1,0x71D8D42D,0x22,0x111,,1,3,1,2,0,4,-1,1,0,0,8001019,MEMORY FAIL,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 8001019, 'range_label': 'MEMORY FAIL'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 7000065, 'range_label': 'Empty'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 8001014, 'range_label': 'DIAG COM CONFIG FAIL'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 8001022, 'range_label': 'SECURE'}, {'no': 5, 'up_bound': 4, 'low_bound': 4, 'range_id': 8001013, 'range_label': 'DIAG COM'}, {'no': 6, 'up_bound': 5, 'low_bound': 5, 'range_id': 8001020, 'range_label': 'MONITOR'}, {'no': 7, 'up_bound': 6, 'low_bound': 6, 'range_id': 8001018, 'range_label': 'INTERMEDIATE'}]"
Data List,All data,TimeOut,4,20,10,30,1,0x71D8D42D,0x22,0x111,,0,4,1,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Transfer Disable Status by Bus load filter,5,21,11,30,1,0x71D8D42D,0x22,0x111,,1,5,1,2,4,2,-1,1,0,0,8001021,No violation,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 8001021, 'range_label': 'No violation'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 8001023, 'range_label': 'Transfer disabling from DLC'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 8001025, 'range_label': 'Transfer disabling from EXT'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 8001024, 'range_label': 'Transfer disabling from DLC&EXT'}]"
Data List,All data,Mileage when reset 1,6,4,12,31,1,0x71D8D42D,0x22,0x112,km,0,3,3,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Mileage when reset 2,7,12,13,31,1,0x71D8D42D,0x22,0x112,km,0,6,3,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Mileage when reset 3,8,13,14,31,1,0x71D8D42D,0x22,0x112,km,0,9,3,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Mileage when reset 4,9,14,15,31,1,0x71D8D42D,0x22,0x112,km,0,12,3,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Mileage when reset 5,10,15,16,31,1,0x71D8D42D,0x22,0x112,km,0,15,3,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
