function,group,item,no,no_nas,qual_id,su_qual_id,visible,skey_sid_hex,qual_sid_hex,qual_lid_hex,param_unit,param_data_type,param_byte_pos,param_byte_len,param_byte_ord,param_bit_pos,param_bit_len,param_bit_mask,scale_no,scale_up_bound,scale_low_bound,scale_range_id,scale_range_label,scale_factor,scale_offset,scale_format,scale_labels
Data List,All data,Driving permission signal,1,15,11,0,1,0x391161,0x22,0x120,,1,3,1,2,0,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Data List,All data,Movement monitor signal,2,17,12,0,1,0x391161,0x22,0x125,,1,3,1,2,0,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Data List,All data,DCDC abnormal,3,3,13,0,1,0x391161,0x22,0x121,,1,3,1,2,0,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Data List,All data,12V output voltage order value,4,1,14,0,1,0x391161,0x22,0x115,V,0,3,2,2,-1,-1,-1,1,0,0,0,,0.001,11.7,3,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,DCDC input voltage,5,5,15,0,1,0x391161,0x22,0x116,V,0,3,2,2,-1,-1,-1,1,0,0,0,,1.27,0,2,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,DCDC input current,6,4,16,0,1,0x391161,0x22,0x117,A,0,3,2,2,-1,-1,-1,1,0,0,0,,0.07,0,2,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,DCDC output voltage(S terminal),7,11,17,0,1,0x391161,0x22,0x118,V,0,3,2,2,-1,-1,-1,1,0,0,0,,0.02,0,2,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,DCDC output voltage(B terminal),8,10,18,0,1,0x391161,0x22,0x119,V,0,3,2,2,-1,-1,-1,1,0,0,0,,0.02,0,2,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,DCDC output current,9,9,19,0,1,0x391161,0x22,0x11A,A,0,3,2,2,-1,-1,-1,1,0,0,0,,0.31,0,2,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,IGCT voltage,10,16,20,0,1,0x391161,0x22,0x11B,V,0,3,2,2,-1,-1,-1,1,0,0,0,,0.02,0,2,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,DCDC INV temperature 1,11,7,21,0,1,0x391161,0x22,0x11C,°C,0,3,2,2,-1,-1,-1,1,0,0,0,,0.2,-40,1,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,DCDC rectification temperature,12,12,22,0,1,0x391161,0x22,0x11D,°C,0,3,2,2,-1,-1,-1,1,0,0,0,,0.2,-40,1,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,DCDC INV temperature 2,13,8,23,0,1,0x391161,0x22,0x11E,°C,0,3,2,2,-1,-1,-1,1,0,0,0,,0.2,-40,1,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
