function,group,item,no,no_nas,qual_id,su_qual_id,visible,skey_sid_hex,qual_sid_hex,qual_lid_hex,param_unit,param_data_type,param_byte_pos,param_byte_len,param_byte_ord,param_bit_pos,param_bit_len,param_bit_mask,scale_no,scale_up_bound,scale_low_bound,scale_range_id,scale_range_label,scale_factor,scale_offset,scale_format,scale_labels
Data List,All data,EBA Ready For Diagnostic Actuation,1,9,11,45,1,0x3A9801,0x22,0x5B02,,0,3,1,2,-1,-1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Data List,All data,Thermal Limitation,2,31,12,46,1,0x3A9801,0x22,0x5B06,,0,3,1,2,-1,-1,-1,1,0,0,71000016,Not active,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 71000016, 'range_label': 'Not active'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 3000271, 'range_label': 'Active'}]"
Data List,All data,Actuator Position Information,3,4,13,47,1,0x3A9801,0x22,0x5B07,,0,3,1,2,-1,-1,-1,1,0,0,8002072,Not Initialized,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 8002072, 'range_label': 'Not Initialized'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 7000466, 'range_label': 'Invalid'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 8002056, 'range_label': 'Not Offset Corrected'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 8002055, 'range_label': 'Offset Corrected'}]"
Data List,All data,Actuator (valve body) Position Information,4,3,14,48,1,0x3A9801,0x22,0x5B08,mm,0,3,2,2,-1,-1,-1,1,0,0,0,,0.0019531,-64,3,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Output And Input Rod Position Information,5,22,15,49,1,0x3A9801,0x22,0x5B09,,0,3,1,2,-1,-1,-1,1,0,0,8002072,Not Initialized,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 8002072, 'range_label': 'Not Initialized'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 7000506, 'range_label': 'Normal'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 8002059, 'range_label': 'Faulty'}]"
Data List,All data,Input Rod Position Information,6,21,16,50,1,0x3A9801,0x22,0x5B0A,mm,0,3,2,2,-1,-1,-1,1,0,0,0,,0.0019531,-64,3,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Output Rod Position Information,7,23,17,51,1,0x3A9801,0x22,0x5B0B,mm,0,3,2,2,-1,-1,-1,1,0,0,0,,0.015625,-5,2,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Target Motor Speed,8,29,18,52,1,0x3A9801,0x22,0x5B0C,rad/s,0,3,2,2,-1,-1,-1,1,0,0,0,,0.125,-1000,1,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Actual Motor Speed,9,2,19,53,1,0x3A9801,0x22,0x5B0D,rad/s,0,3,2,2,-1,-1,-1,1,0,0,0,,0.125,-1000,1,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Target Motor Torque,10,30,20,54,1,0x3A9801,0x22,0x5B0E,Nm,0,3,2,2,-1,-1,-1,1,0,0,0,,0.00048828,-10,3,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,iB Motor Torque,11,15,21,55,1,0x3A9801,0x22,0x5B0F,Nm,0,3,2,2,-1,-1,-1,1,0,0,0,,0.0002,-16,3,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,ASC Pressure MC,12,5,22,56,1,0x3A9801,0x22,0x5B10,bar,0,3,2,2,-1,-1,-1,1,0,0,0,,0.03125,-30,2,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,iB Temperature Therm Ch1,13,19,23,57,1,0x3A9801,0x22,0x5B11,°C,0,3,2,2,-1,-1,-1,1,0,0,0,,0.015625,-512,2,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,iB Temperature Therm Ch2,14,20,24,58,1,0x3A9801,0x22,0x5B12,°C,0,3,2,2,-1,-1,-1,1,0,0,0,,0.015625,-512,2,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,iB Power Supply Battery,15,16,25,59,1,0x3A9801,0x22,0x5B13,V,0,3,2,2,-1,-1,-1,1,0,0,0,,0.0039063,0,3,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,iB Power Supply ECU,16,17,26,60,1,0x3A9801,0x22,0x5B14,mV,0,3,2,2,-1,-1,-1,1,0,0,0,,0.0039063,0,3,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,iB Power Supply LIPS,17,18,27,61,1,0x3A9801,0x22,0x5B15,V,0,3,2,2,-1,-1,-1,1,0,0,0,,0.001354,0,3,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Battery Voltage,18,6,28,0,1,0x3A9801,0x22,0xB000,V,0,3,1,2,-1,-1,-1,1,0,0,0,,0.1,0,1,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,eDLC Voltage,19,13,29,0,1,0x3A9801,0x22,0xB001,V,0,3,1,2,-1,-1,-1,1,0,0,0,,0.1,0,1,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Vehicle status,20,34,30,0,1,0x3A9801,0x22,0xB005,,0,3,1,2,-1,-1,-1,1,0,0,8002069,Asleep,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 8002069, 'range_label': 'Asleep'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1001708, 'range_label': 'Not Used'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 8002057, 'range_label': 'Cut Off Pending'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 8000594, 'range_label': 'Auto ACC'}, {'no': 5, 'up_bound': 4, 'low_bound': 4, 'range_id': 1001708, 'range_label': 'Not Used'}, {'no': 6, 'up_bound': 5, 'low_bound': 5, 'range_id': 8001517, 'range_label': 'IG-ON'}, {'no': 7, 'up_bound': 6, 'low_bound': 6, 'range_id': 8002064, 'range_label': 'Starting In Progress'}, {'no': 8, 'up_bound': 7, 'low_bound': 7, 'range_id': 8002058, 'range_label': 'Powertrain Running'}, {'no': 9, 'up_bound': 8, 'low_bound': 8, 'range_id': 7000873, 'range_label': 'Auto Start'}, {'no': 10, 'up_bound': 9, 'low_bound': 9, 'range_id': 8002054, 'range_label': 'Engine System Stop'}, {'no': 11, 'up_bound': 20, 'low_bound': 16, 'range_id': 1001708, 'range_label': 'Not Used'}, {'no': 12, 'up_bound': 255, 'low_bound': 255, 'range_id': 8001541, 'range_label': 'Unavailable'}]"
Data List,All data,PPU active status,21,26,31,0,1,0x3A9801,0x22,0xB006,,1,3,1,2,1,1,-1,1,0,0,71000016,Not active,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 71000016, 'range_label': 'Not active'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 3000271, 'range_label': 'Active'}]"
Data List,All data,PPU operational status,22,27,32,0,1,0x3A9801,0x22,0xB006,,1,3,1,2,2,1,-1,1,0,0,8002068,Not operational,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 8002068, 'range_label': 'Not operational'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 8002067, 'range_label': 'Operational'}]"
Data List,All data,PFC active status,23,24,33,0,1,0x3A9801,0x22,0xB006,,1,3,1,2,3,1,-1,1,0,0,71000016,Not active,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 71000016, 'range_label': 'Not active'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 3000271, 'range_label': 'Active'}]"
Data List,All data,PFC operational status,24,25,34,0,1,0x3A9801,0x22,0xB006,,1,3,1,2,4,1,-1,1,0,0,8002068,Not operational,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 8002068, 'range_label': 'Not operational'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 8002067, 'range_label': 'Operational'}]"
Data List,All data,EBR permission status,25,12,35,0,1,0x3A9801,0x22,0xB006,,1,3,1,2,5,1,-1,1,0,0,8002071,Inhibited,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 8002071, 'range_label': 'Inhibited'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 8002062, 'range_label': 'Permitted'}]"
Data List,All data,EBR active status,26,10,36,0,1,0x3A9801,0x22,0xB006,,1,3,1,2,6,1,-1,1,0,0,71000016,Not active,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 71000016, 'range_label': 'Not active'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 3000271, 'range_label': 'Active'}]"
Data List,All data,EBR operational status,27,11,37,0,1,0x3A9801,0x22,0xB006,,1,3,1,2,7,1,-1,1,0,0,8002068,Not operational,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 8002068, 'range_label': 'Not operational'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 8002067, 'range_label': 'Operational'}]"
Data List,All data,Vehicle speed,28,32,38,0,1,0x3A9801,0x22,0xB007,km/h,0,3,2,2,-1,-1,-1,1,0,0,0,,0.01,0,2,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Vehicle speed body,29,33,39,0,1,0x3A9801,0x22,0xB008,km/h,0,3,2,2,-1,-1,-1,1,0,0,0,,0.01,0,2,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Brake pedal position,30,7,40,0,1,0x3A9801,0x22,0xB009,%,0,3,2,2,-1,-1,4095,1,0,0,0,,0.03125,0,2,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Pressure Run Out,31,28,41,0,1,0x3A9801,0x22,0xB00C,MPa,0,3,1,2,-1,-1,-1,1,0,0,0,,0.1,0,1,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,ABS in regulation,32,1,42,0,1,0x3A9801,0x22,0xB00E,,0,3,1,2,-1,-1,-1,1,0,0,8002061,No ABS regulation,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 8002061, 'range_label': 'No ABS regulation'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 8002060, 'range_label': 'ABS regulation'}]"
Data List,All data,External Brake Status,33,14,43,0,1,0x3A9801,0x22,0xB00F,,0,3,1,2,-1,-1,-1,1,0,0,33000032,Not initialized,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 33000032, 'range_label': 'Not initialized'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 8002066, 'range_label': 'Not ready'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 8002065, 'range_label': 'Ready'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 1001708, 'range_label': 'Not Used'}]"
Data List,All data,Buzzer Control,34,8,44,0,1,0x3A9801,0x22,0xEFFF,,0,3,1,2,-1,-1,-1,1,0,0,8002070,Not Activated,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 8002070, 'range_label': 'Not Activated'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 8002063, 'range_label': 'Activated'}]"
Data gathering,,Data(DA00),1,1,94,0,1,0x3A9801,0x22,0xDA00,,0,0,318,2,-1,-1,-1,,,,,,,,,[]
