function,group,item,no,no_nas,qual_id,su_qual_id,visible,skey_sid_hex,qual_sid_hex,qual_lid_hex,param_unit,param_data_type,param_byte_pos,param_byte_len,param_byte_ord,param_bit_pos,param_bit_len,param_bit_mask,scale_no,scale_up_bound,scale_low_bound,scale_range_id,scale_range_label,scale_factor,scale_offset,scale_format,scale_labels
Data List,All data,Input torque (from torque sensor),1,39,9,94,1,0x6EDDDE35,0x22,0x112,Nm,0,3,2,2,-1,-1,-1,1,0,0,0,,0.1,-20,1,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Motor current demand,2,45,10,95,1,0x6EDDDE35,0x22,0x113,A,0,3,2,2,-1,-1,-1,1,0,0,0,,0.0078125,-256,3,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Assistance Level,3,1,11,96,1,0x6EDDDE35,0x22,0x115,%,0,3,1,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,EPS warning,4,36,12,97,1,0x6EDDDE35,0x22,0x11A,,1,3,1,2,0,2,-1,1,0,0,7000719,No serious failure,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 7000719, 'range_label': 'No serious failure'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 7000718, 'range_label': 'Minor failure'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 7000717, 'range_label': 'Major failure'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 9100218, 'range_label': 'Not used'}]"
Data List,All data,Assistance torque demand,5,2,13,98,1,0x6EDDDE35,0x22,0x11F,Nm,0,3,2,2,-1,-1,-1,1,0,0,0,,0.1,-150,1,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Measured motor current,6,43,14,99,1,0x6EDDDE35,0x22,0x12C,A,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-127,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,ECU temperature,7,33,15,100,1,0x6EDDDE35,0x22,0x12E,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-50,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Battery voltage,8,3,16,101,1,0x6EDDDE35,0x22,0x12F,V,0,3,1,2,-1,-1,-1,1,0,0,0,,0.1,0,1,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,ISS Status,9,41,17,102,1,0x6EDDDE35,0x22,0x1C8,,1,3,1,2,0,2,-1,1,0,0,7000721,Not Stop Auto Phase,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 7000721, 'range_label': 'Not Stop Auto Phase'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 7000711, 'range_label': 'Auto Start'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 7000714, 'range_label': 'Idle Stop'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 7000710, 'range_label': 'Auto Phase Aborted'}]"
Data List,All data,Vehicle speed,10,86,18,103,1,0x6EDDDE35,0x22,0x1D1,km/h,0,3,2,2,-1,-1,-1,1,0,0,0,,0.01,0,2,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
