function,group,item,no,no_nas,qual_id,su_qual_id,visible,skey_sid_hex,qual_sid_hex,qual_lid_hex,param_unit,param_data_type,param_byte_pos,param_byte_len,param_byte_ord,param_bit_pos,param_bit_len,param_bit_mask,scale_no,scale_up_bound,scale_low_bound,scale_range_id,scale_range_label,scale_factor,scale_offset,scale_format,scale_labels
Data List,All data,Relay Output Status,1,15,6,29,1,0x393871,0x22,0x215,,1,3,1,2,0,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Data List,All data,Battery Voltage,2,1,7,30,1,0x393871,0x22,0x216,V,0,3,1,2,-1,-1,-1,1,0,0,0,,0.078125,0,4,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,U-Phase Terminal Monitoring Voltage,3,18,8,31,1,0x393871,0x22,0x217,V,0,3,2,2,-1,-1,-1,1,0,0,0,,0.01953125,0,4,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,V-Phase Terminal Monitoring Voltage,4,22,9,32,1,0x393871,0x22,0x218,V,0,3,2,2,-1,-1,-1,1,0,0,0,,0.01953125,0,4,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,W-Phase Terminal Monitoring Voltage,5,23,10,33,1,0x393871,0x22,0x219,V,0,3,2,2,-1,-1,-1,1,0,0,0,,0.01953125,0,4,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Common Current,6,2,11,34,1,0x393871,0x22,0x21D,A,0,3,2,2,-1,-1,-1,1,0,0,0,,0.0003468,0,4,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,IG Status,7,7,12,35,1,0x393871,0x22,0x21E,,1,3,1,2,0,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Data List,All data,Vehicle Request Shift Position (CAN),8,20,13,36,1,0x393871,0x22,0x21F,,1,3,1,2,0,2,-1,1,0,0,38000024,Undefined,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 38000024, 'range_label': 'Undefined'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 38000004, 'range_label': 'P range'}, {'no': 3, 'up_bound': 3, 'low_bound': 3, 'range_id': 8001518, 'range_label': 'Not P range'}]"
Data List,All data,Vehicle Request Shift Position (LIN),9,21,14,37,1,0x393871,0x22,0x220,,1,3,1,2,0,2,-1,1,0,0,38000024,Undefined,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 38000024, 'range_label': 'Undefined'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 38000004, 'range_label': 'P range'}, {'no': 3, 'up_bound': 3, 'low_bound': 3, 'range_id': 8001518, 'range_label': 'Not P range'}]"
Data List,All data,Vehicle Request Shift Position,10,19,15,38,1,0x393871,0x22,0x221,,0,3,1,2,-1,-1,-1,1,0,0,38000024,Undefined,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 38000024, 'range_label': 'Undefined'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 38000004, 'range_label': 'P range'}, {'no': 3, 'up_bound': 3, 'low_bound': 3, 'range_id': 8001518, 'range_label': 'Not P range'}]"
Data List,All data,Request Shift Position,11,16,16,39,1,0x393871,0x22,0x222,,0,3,1,2,-1,-1,-1,1,0,0,38000024,Undefined,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 38000024, 'range_label': 'Undefined'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 38000004, 'range_label': 'P range'}, {'no': 3, 'up_bound': 3, 'low_bound': 3, 'range_id': 8001518, 'range_label': 'Not P range'}]"
Data List,All data,Motor Control Mode,12,9,17,40,1,0x393871,0x22,0x223,,1,3,1,2,0,3,-1,1,0,0,38000018,Initial wait,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 38000018, 'range_label': 'Initial wait'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 38000017, 'range_label': 'Initial actuation'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 38000021, 'range_label': 'Normal control'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 38000007, 'range_label': 'P side wall detection'}, {'no': 5, 'up_bound': 4, 'low_bound': 4, 'range_id': 38000008, 'range_label': 'P side wall return'}, {'no': 6, 'up_bound': 5, 'low_bound': 5, 'range_id': 38000002, 'range_label': 'Not P side wall detection'}, {'no': 7, 'up_bound': 6, 'low_bound': 6, 'range_id': 38000003, 'range_label': 'Not P side wall return'}, {'no': 8, 'up_bound': 7, 'low_bound': 7, 'range_id': 38000013, 'range_label': 'Fail-safe control'}]"
Data List,All data,Motor Drive Mode,13,10,18,41,1,0x393871,0x22,0x224,,1,3,1,2,0,4,-1,1,0,0,16000018,Standby,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 16000018, 'range_label': 'Standby'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 30000026, 'range_label': 'Stop'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 38000023, 'range_label': 'Retention at inversion'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 38000012, 'range_label': 'Feedback actuation'}, {'no': 5, 'up_bound': 4, 'low_bound': 4, 'range_id': 38000022, 'range_label': 'Energizing phase learning'}, {'no': 6, 'up_bound': 5, 'low_bound': 5, 'range_id': 38000011, 'range_label': 'Open actuation'}]"
Data List,All data,Current Shift Position Counter,14,4,19,42,1,0x393871,0x22,0x225,,0,3,2,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Target Shift Position Counter,15,17,20,43,1,0x393871,0x22,0x226,,0,3,2,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,P Position Learned Value,16,13,21,44,1,0x393871,0x22,0x228,,0,3,2,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Not P Position Learned Value,17,12,22,45,1,0x393871,0x22,0x229,,0,3,2,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Movement Range Learned Value,18,11,23,46,1,0x393871,0x22,0x22A,,0,3,2,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,P/Not P Position,19,14,24,47,1,0x393871,0x22,0x22B,,0,3,1,2,-1,-1,-1,1,0,0,38000024,Undefined,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 38000024, 'range_label': 'Undefined'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 38000004, 'range_label': 'P range'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 38000020, 'range_label': 'Intermediate range'}, {'no': 4, 'up_bound': 13, 'low_bound': 13, 'range_id': 8001518, 'range_label': 'Not P range'}]"
Data List,All data,Current Shift Position,20,3,25,48,1,0x393871,0x22,0x22C,,0,3,1,2,-1,-1,-1,1,0,0,38000024,Undefined,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 38000024, 'range_label': 'Undefined'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 38000004, 'range_label': 'P range'}, {'no': 3, 'up_bound': 11, 'low_bound': 11, 'range_id': 38000020, 'range_label': 'Intermediate range'}, {'no': 4, 'up_bound': 12, 'low_bound': 12, 'range_id': 8001518, 'range_label': 'Not P range'}]"
Data List,All data,Motion Rejection,21,8,26,49,1,0x393871,0x22,0x22D,,1,3,1,2,0,1,-1,1,0,0,38000016,Not Rejecting,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 38000016, 'range_label': 'Not Rejecting'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 38000015, 'range_label': 'Rejecting'}]"
Data List,All data,Estimated Motor Heat Generation Value,22,6,27,50,1,0x393871,0x22,0x22E,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,0.390625,0,4,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Estimated ECU Heat Generation Value,23,5,28,51,1,0x393871,0x22,0x22F,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,0.390625,0,4,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Freeze Frame Data,Fuel control,ODO/TRIP METER,10,630,53,0,1,0x393871,0xF0,0xD0,km,0,2,3,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Freeze Frame Data,Fuel control,DTC count,20,360,54,0,1,0x393871,0xF0,0xD1,,0,2,1,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Freeze Frame Data,Fuel control,Motor Relay High Failure,30,600,55,0,1,0x393871,0x2,0x0,,1,2,1,2,0,1,-1,1,0,0,9100094,Normal,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 9100094, 'range_label': 'Normal'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 85000004, 'range_label': 'Failure'}]"
Freeze Frame Data,Fuel control,Motor High Failure,40,590,56,0,1,0x393871,0x2,0x1,,1,2,1,2,0,1,-1,1,0,0,9100094,Normal,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 9100094, 'range_label': 'Normal'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 85000004, 'range_label': 'Failure'}]"
Freeze Frame Data,Fuel control,Motor Drive Circuit Low Failure,50,560,57,0,1,0x393871,0x2,0x2,,1,2,1,2,0,1,-1,1,0,0,9100094,Normal,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 9100094, 'range_label': 'Normal'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 85000004, 'range_label': 'Failure'}]"
