function,group,item,no,no_nas,qual_id,su_qual_id,visible,skey_sid_hex,qual_sid_hex,qual_lid_hex,param_unit,param_data_type,param_byte_pos,param_byte_len,param_byte_ord,param_bit_pos,param_bit_len,param_bit_mask,scale_no,scale_up_bound,scale_low_bound,scale_range_id,scale_range_label,scale_factor,scale_offset,scale_format,scale_labels
Data List,All data,AIMING DONE,1,6,2,36,1,0x6F76770D,0x22,0x10C,,1,3,1,2,0,1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,AIMING RESULT,2,7,3,37,1,0x6F76770D,0x22,0x10D,,1,3,1,2,0,1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,AIM NG REASON,3,2,4,38,1,0x6F76770D,0x22,0x10E,,0,3,1,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,AIM YAW,4,5,5,39,1,0x6F76770D,0x22,0x113,deg,0,3,2,2,-1,-1,-1,1,0,0,0,,0.0004,0,4,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,AIM ROL,5,4,6,40,1,0x6F76770D,0x22,0x114,deg,0,3,2,2,-1,-1,-1,1,0,0,0,,0.0004,0,4,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,AIM PIT,6,3,7,41,1,0x6F76770D,0x22,0x115,deg,0,3,2,2,-1,-1,-1,1,0,0,0,,0.0004,0,4,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,FCTRY AIM YAW,7,27,8,42,1,0x6F76770D,0x22,0x116,deg,0,3,2,2,-1,-1,-1,1,0,0,0,,0.0004,0,4,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,FCTRY AIM ROL,8,26,9,43,1,0x6F76770D,0x22,0x117,deg,0,3,2,2,-1,-1,-1,1,0,0,0,,0.0004,0,4,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,FCTRY AIM PIT,9,25,10,44,1,0x6F76770D,0x22,0x118,deg,0,3,2,2,-1,-1,-1,1,0,0,0,,0.0004,0,4,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Configuration result 1,10,20,11,45,1,0x6F76770D,0x22,0x2044,,1,3,1,2,0,1,-1,1,0,0,9100011,Finished,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 9100011, 'range_label': 'Finished'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1001711, 'range_label': 'Unfnshd'}]"
