function,group,item,no,no_nas,qual_id,su_qual_id,visible,skey_sid_hex,qual_sid_hex,qual_lid_hex,param_unit,param_data_type,param_byte_pos,param_byte_len,param_byte_ord,param_bit_pos,param_bit_len,param_bit_mask,scale_no,scale_up_bound,scale_low_bound,scale_range_id,scale_range_label,scale_factor,scale_offset,scale_format,scale_labels
Data List,All data,Mileage,1,93,91,232,1,0x398691,0x22,0xF0D0,km,0,3,3,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Battery Voltage,2,12,92,181,1,0x398691,0x22,0x4000,V,0,3,1,2,-1,-1,-1,1,0,0,0,,0.07326,0,3,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Vehicle Speed,3,160,93,182,1,0x398691,0x22,0x4001,km/h,0,3,1,2,-1,-1,-1,1,0,0,0,,2,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Crank Angle Sensor (Engine RPM),4,25,94,183,1,0x398691,0x22,0x4002,r/min,0,3,2,2,-1,-1,-1,1,0,0,0,,0.12207,0,3,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Air Temperature Sensor,5,7,95,184,1,0x398691,0x22,0x4004,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Coolant (Water) Temperature Sensor,6,22,96,185,1,0x398691,0x22,0x4005,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Boost Sensor,7,13,97,186,1,0x398691,0x22,0x4009,kPa,0,3,2,2,-1,-1,-1,1,0,0,0,,0.00193259,0,3,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Air flow Sensor,8,6,98,187,1,0x398691,0x22,0x400B,g/s,0,3,2,2,-1,-1,-1,1,0,0,0,,0.02,0,2,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,TPS (Main),9,147,99,188,1,0x398691,0x22,0x400D,mV,0,3,1,2,-1,-1,-1,1,0,0,0,,19.53125,0,3,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,TPS (Sub),10,149,100,189,1,0x398691,0x22,0x400E,mV,0,3,1,2,-1,-1,-1,1,0,0,0,,19.53125,0,3,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,TPS (Main) Learning value under ETV deactivation,11,148,101,190,1,0x398691,0x22,0x400F,mV,0,3,1,2,-1,-1,-1,1,0,0,0,,19.53125,0,3,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Adv.Ignition,12,5,102,191,1,0x398691,0x22,0x4012,°CA,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-20,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
