function,group,item,no,no_nas,qual_id,su_qual_id,visible,skey_sid_hex,qual_sid_hex,qual_lid_hex,param_unit,param_data_type,param_byte_pos,param_byte_len,param_byte_ord,param_bit_pos,param_bit_len,param_bit_mask,scale_no,scale_up_bound,scale_low_bound,scale_range_id,scale_range_label,scale_factor,scale_offset,scale_format,scale_labels
Data List,All data,Main switch,1,51,6,130,1,0x77361FD9,0x22,0x1B1,,1,3,1,2,7,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Data List,All data,Backlight power,2,13,7,131,1,0x77361FD9,0x22,0x1B2,%,0,3,2,2,-1,-1,-1,1,1000,0,0,,0.1,0,1,"[{'no': 1, 'up_bound': 1000, 'low_bound': 0, 'range_id': 0, 'range_label': None}, {'no': 2, 'up_bound': 65534, 'low_bound': 1001, 'range_id': 8000200, 'range_label': '##'}, {'no': 3, 'up_bound': 65535, 'low_bound': 65535, 'range_id': 37000076, 'range_label': 'Invalid'}]"
Data List,All data,Light sensor intensity,3,49,9,132,1,0x77361FD9,0x22,0x1B3,Lx,0,3,3,2,-1,-1,-1,1,1000000,0,0,,0.1,0,1,"[{'no': 1, 'up_bound': 1000000, 'low_bound': 0, 'range_id': 0, 'range_label': None}, {'no': 2, 'up_bound': 16777214, 'low_bound': 1000001, 'range_id': 8000200, 'range_label': '##'}, {'no': 3, 'up_bound': 16777215, 'low_bound': 16777215, 'range_id': 37000076, 'range_label': 'Invalid'}]"
Data List,All data,Display temperature,4,25,11,133,1,0x77361FD9,0x22,0x1B4,°C,0,3,2,2,-1,-1,-1,1,185,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 185, 'low_bound': 0, 'range_id': 0, 'range_label': None}, {'no': 2, 'up_bound': 65534, 'low_bound': 186, 'range_id': 8000200, 'range_label': '##'}, {'no': 3, 'up_bound': 65535, 'low_bound': 65535, 'range_id': 37000076, 'range_label': 'Invalid'}]"
Data List,All data,Mirror status,5,54,13,134,1,0x77361FD9,0x22,0x1B5,,1,3,1,2,7,1,-1,1,0,0,3000190,Close,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 3000190, 'range_label': 'Close'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 3000195, 'range_label': 'Open'}]"
Data List,All data,Display status,6,24,14,135,1,0x77361FD9,0x22,0x1B6,,1,3,1,2,7,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Data List,All data,Login user No.,7,50,15,136,1,0x77361FD9,0x22,0x1B7,,1,3,1,2,5,3,-1,1,0,0,1001387,Guest,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1001387, 'range_label': 'Guest'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 7000571, 'range_label': 'User1'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 7000572, 'range_label': 'User2'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 7000573, 'range_label': 'User3'}, {'no': 5, 'up_bound': 4, 'low_bound': 4, 'range_id': 7000574, 'range_label': 'User4'}, {'no': 6, 'up_bound': 5, 'low_bound': 5, 'range_id': 7000569, 'range_label': 'User5'}]"
Data List,All data,Keylink activation,8,41,16,137,1,0x77361FD9,0x22,0x1B8,,1,3,1,2,7,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Data List,All data,Backlight temp,9,14,18,139,1,0x77361FD9,0x22,0x1BA,°C,0,3,2,2,-1,-1,-1,1,185,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 185, 'low_bound': 0, 'range_id': 0, 'range_label': None}, {'no': 2, 'up_bound': 65534, 'low_bound': 186, 'range_id': 8000200, 'range_label': '##'}, {'no': 3, 'up_bound': 65535, 'low_bound': 65535, 'range_id': 37000076, 'range_label': 'Invalid'}]"
Data List,All data,Current calibration status,10,21,22,141,1,0x77361FD9,0x22,0x1BC,,1,3,1,2,5,3,-1,1,0,0,10001,1,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 10001, 'range_label': '1'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 10002, 'range_label': '2'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 10003, 'range_label': '3'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 10004, 'range_label': '4'}, {'no': 5, 'up_bound': 4, 'low_bound': 4, 'range_id': 10005, 'range_label': '5'}, {'no': 6, 'up_bound': 7, 'low_bound': 7, 'range_id': 10006, 'range_label': '6'}]"
Data List,All data,Calibration status 1,11,16,23,141,1,0x77361FD9,0x22,0x1BC,,1,3,1,2,4,1,-1,1,0,0,7000510,No adjust,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 7000510, 'range_label': 'No adjust'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 7000388, 'range_label': 'Adjusted'}]"
Data List,All data,Calibration status 2,12,17,24,141,1,0x77361FD9,0x22,0x1BC,,1,3,1,2,3,1,-1,1,0,0,7000510,No adjust,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 7000510, 'range_label': 'No adjust'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 7000388, 'range_label': 'Adjusted'}]"
