function,group,item,no,no_nas,qual_id,su_qual_id,visible,skey_sid_hex,qual_sid_hex,qual_lid_hex,param_unit,param_data_type,param_byte_pos,param_byte_len,param_byte_ord,param_bit_pos,param_bit_len,param_bit_mask,scale_no,scale_up_bound,scale_low_bound,scale_range_id,scale_range_label,scale_factor,scale_offset,scale_format,scale_labels
Data List,All data,Mileage,1,81,40,226,1,0x39D4B1,0x22,0xF0D0,km,0,3,3,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Pressure Sensor Value,2,89,41,141,1,0x39D4B1,0x22,0x100,bar,0,3,2,2,-1,-1,511,1,0,0,0,,0.1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Pressure Sensor Calculated Value,3,88,42,142,1,0x39D4B1,0x22,0x101,bar,0,3,2,2,-1,-1,511,1,0,0,0,,0.1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Outer Condenser Outlet Refrigerant Temp Sensor Value,4,83,43,143,1,0x39D4B1,0x22,0x102,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Outer Condenser Outlet Refrigerant Temp Sensor Calculated Value,5,82,44,144,1,0x39D4B1,0x22,0x103,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Heat Exchanger Outlet Refrigerant Temp Sensor Value,6,60,45,145,1,0x39D4B1,0x22,0x104,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-30,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Heat Exchanger Outlet Refrigerant Temp Sensor Calculated Value,7,59,46,146,1,0x39D4B1,0x22,0x105,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-30,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Evaporator Outlet Refrigerant Temp Sensor Value,8,54,47,147,1,0x39D4B1,0x22,0x106,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Evaporator Outlet Refrigerant Temp Sensor Calculated Value,9,53,48,148,1,0x39D4B1,0x22,0x107,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Discharge Refrigerant Temp Sensor Value,10,26,49,149,1,0x39D4B1,0x22,0x108,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-30,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
