function,group,item,no,no_nas,qual_id,su_qual_id,visible,skey_sid_hex,qual_sid_hex,qual_lid_hex,param_unit,param_data_type,param_byte_pos,param_byte_len,param_byte_ord,param_bit_pos,param_bit_len,param_bit_mask,scale_no,scale_up_bound,scale_low_bound,scale_range_id,scale_range_label,scale_factor,scale_offset,scale_format,scale_labels
Data List,All data,IN-VEH TEMP,1,14,6,27,1,0x6AB1C245,0x22,0x4009,°C,0,3,2,2,-1,-1,-1,1,0,0,0,,0.1,-40,1,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,INT TEMP SEN,2,13,7,28,1,0x6AB1C245,0x22,0x400A,°C,0,3,2,2,-1,-1,-1,1,0,0,0,,0.1,-40,1,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,SUNLOAD SEN,3,19,8,29,1,0x6AB1C245,0x22,0x400B,W/m^2,0,3,1,2,-1,-1,-1,1,0,0,0,,5,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,AMB SEN CAL,4,3,9,30,1,0x6AB1C245,0x22,0x400C,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,IN -VEH CAL,5,11,10,31,1,0x6AB1C245,0x22,0x400D,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,PASS IN CAL,6,16,11,32,1,0x6AB1C245,0x22,0x400E,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,INT TEMP CAL,7,12,12,33,1,0x6AB1C245,0x22,0x400F,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,SUNL SEN CAL,8,18,13,34,1,0x6AB1C245,0x22,0x4010,W/m^2,0,3,1,2,-1,-1,-1,1,0,0,0,,5,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,XM,9,21,14,35,1,0x6AB1C245,0x22,0x4012,,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-100,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,FAN REQ SIG,10,10,15,36,1,0x6AB1C245,0x22,0x4013,,1,3,1,2,7,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Data List,All data,COMP REQ SIG,11,7,16,37,1,0x6AB1C245,0x22,0x4015,,1,3,1,2,7,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Data List,All data,A/C comp clutch status,12,1,17,38,1,0x6AB1C245,0x22,0x4017,,1,3,1,2,7,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Data List,All data,RR XM,13,17,18,39,1,0x6AB1C245,0x22,0x4025,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-100,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Assist seat target air temperature,14,5,19,40,1,0x6AB1C245,0x22,0x4060,,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-100,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Blower fan duty,15,6,20,41,1,0x6AB1C245,0x22,0x422F,%,0,3,1,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,A/C comp valve duty,16,2,21,42,1,0x6AB1C245,0x22,0x4248,%,0,3,1,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,AMB TEMP SEN,17,4,22,43,1,0x6AB1C245,0x22,0x4347,°C,0,3,2,2,-1,-1,-1,1,0,0,0,,0.25,-50,2,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Vehicle speed,18,20,23,44,1,0x6AB1C245,0x22,0xD003,km/h,0,3,2,2,-1,-1,-1,1,0,0,0,,0.01,0,2,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,ODO/TRIP METER,19,15,24,45,1,0x6AB1C245,0x22,0xF0D0,km,0,3,3,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Engine RPM,20,9,25,46,1,0x6AB1C245,0x22,0xF40C,r/min,0,3,2,2,-1,-1,-1,1,0,0,0,,0.125,0,3,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,ENG COOL TEMP,21,8,26,47,1,0x6AB1C245,0x22,0xF467,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Freeze Frame Data,Fuel control,ODO/TRIP METER,10,230,3,0,1,0x6AB1C245,0xF0,0xD0,km,0,2,3,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Freeze Frame Data,Fuel control,BatteryVoltage,20,70,134,0,1,0x6AB1C245,0xD0,0x1,,0,2,1,2,-1,-1,-1,1,0,0,0,,0.1,0,1,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
