function,group,item,no,no_nas,qual_id,su_qual_id,visible,skey_sid_hex,qual_sid_hex,qual_lid_hex,param_unit,param_data_type,param_byte_pos,param_byte_len,param_byte_ord,param_bit_pos,param_bit_len,param_bit_mask,scale_no,scale_up_bound,scale_low_bound,scale_range_id,scale_range_label,scale_factor,scale_offset,scale_format,scale_labels
Data List,All data,USB,1,8,5,14,1,0x78674E05,0x22,0x100,,0,3,1,2,-1,-1,-1,1,0,0,7000327,No con,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 7000327, 'range_label': 'No con'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1001280, 'range_label': 'Con'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 7000326, 'range_label': 'No dete'}]"
Data List,All data,SIM status,2,6,6,15,1,0x78674E05,0x22,0x11A,,0,3,1,2,-1,-1,-1,1,0,0,9100035,Lock,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 9100035, 'range_label': 'Lock'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 22000023, 'range_label': 'Unlock'}]"
Data List,All data,Backup battery age,3,1,7,16,1,0x78674E05,0x22,0x12A,day(s),0,3,2,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,eUICC STATUS PIN used,4,3,8,17,1,0x78674E05,0x22,0x145,,0,3,1,2,-1,-1,-1,1,0,0,37000004,Enable,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 37000004, 'range_label': 'Enable'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 37000003, 'range_label': 'Disable'}]"
Data List,All data,SOS switch,5,7,9,18,1,0x78674E05,0x22,0x155,,0,3,1,2,-1,-1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Data List,All data,Radio wave,6,5,10,20,1,0x78674E05,0x22,0x40E0,,0,3,1,2,-1,-1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Data List,All data,Zone,7,9,11,19,1,0x78674E05,0x22,0x401F,,0,3,1,2,-1,-1,-1,1,0,0,16000013,Europe,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 16000013, 'range_label': 'Europe'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 7000319, 'range_label': 'Russia'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 7000324, 'range_label': 'China (R)'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 16000014, 'range_label': 'Japan'}, {'no': 5, 'up_bound': 4, 'low_bound': 4, 'range_id': 7000317, 'range_label': 'U.S.A'}, {'no': 6, 'up_bound': 5, 'low_bound': 5, 'range_id': 7000323, 'range_label': 'China (N)'}, {'no': 7, 'up_bound': 6, 'low_bound': 6, 'range_id': 7000322, 'range_label': 'China (I)'}, {'no': 8, 'up_bound': 7, 'low_bound': 7, 'range_id': 7000325, 'range_label': 'Latam'}, {'no': 9, 'up_bound': 8, 'low_bound': 8, 'range_id': 7000320, 'range_label': 'Korea'}, {'no': 10, 'up_bound': 9, 'low_bound': 9, 'range_id': 7000321, 'range_label': 'Australia'}, {'no': 11, 'up_bound': 153, 'low_bound': 153, 'range_id': 7000318, 'range_label': 'Master'}]"
Data List,All data,Power type,8,4,12,21,1,0x78674E05,0x22,0x40FE,,0,3,1,2,-1,-1,-1,1,0,0,16000125,Engine,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 16000125, 'range_label': 'Engine'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 7000313, 'range_label': 'EV'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 7000314, 'range_label': 'HEV'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 7000316, 'range_label': 'PHEV'}]"
Data List,All data,Brand,9,2,13,22,1,0x78674E05,0x22,0x4130,,0,3,1,2,-1,-1,-1,1,0,0,1001312,Renault,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1001312, 'range_label': 'Renault'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1001300, 'range_label': 'Nissan'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 7000315, 'range_label': 'Infinity'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 7000758, 'range_label': 'MMC'}]"
Data gathering,,Data(DA00),1,1,54,0,1,0x78674E05,0x22,0xDA00,,0,0,318,2,-1,-1,-1,,,,,,,,,[]
Data gathering,,Data(DA10),2,2,55,0,1,0x78674E05,0x22,0xDA10,,0,0,75,2,-1,-1,-1,,,,,,,,,[]
Data gathering,,Data(DA11),3,3,56,0,1,0x78674E05,0x22,0xDA11,,0,0,75,2,-1,-1,-1,,,,,,,,,[]
Data gathering,,Data(DA12),4,4,57,0,1,0x78674E05,0x22,0xDA12,,0,0,75,2,-1,-1,-1,,,,,,,,,[]
Data gathering,,Data(DA13),5,5,58,0,1,0x78674E05,0x22,0xDA13,,0,0,75,2,-1,-1,-1,,,,,,,,,[]
Data gathering,,Data(DA14),6,6,59,0,1,0x78674E05,0x22,0xDA14,,0,0,75,2,-1,-1,-1,,,,,,,,,[]
Freeze Frame Data,Fuel control,ODO/TRIP METER,10,20,3,0,1,0x78674E05,0xF0,0xD0,km,0,2,3,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Freeze Frame Data,Fuel control,DTC count,20,10,4,0,1,0x78674E05,0xF0,0xD1,count,0,2,1,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
ECU Information,Timing control,ECU PART NUMBER,1,1,2,0,1,0x78674E05,0x22,0xF012,,0,3,10,2,-1,-1,-1,,,,,,,,,[]
ECU Information,Timing control,ICCID,2,2,65,0,1,0x78674E05,0x22,0x11A,,0,4,20,2,-1,-1,-1,,,,,,,,,[]
ECU Information,Timing control,Communication network name,3,3,91,0,1,0x78674E05,0x22,0x104,,0,3,40,2,-1,-1,-1,,,,,,,,,[]
ECU Information,Timing control,Communication network ID,4,4,92,0,1,0x78674E05,0x22,0x104,,0,43,10,2,-1,-1,-1,,,,,,,,,[]
ECU Information,ECU information (items to be sent to the server),Software part number,1,1,117081,0,1,0x78674E05,0x22,0xF012,,0,3,10,2,-1,-1,-1,,,,,,,,,[]
ECU Information,ECU information (items to be sent to the server),Hardware part number,2,2,117082,0,1,0x78674E05,0x22,0xF1A1,,0,3,10,2,-1,-1,-1,,,,,,,,,[]
ECU Information,ECU information (items to be sent to the server),ECU serial number,3,3,117083,0,1,0x78674E05,0x22,0xF18C,,0,3,-1,2,-1,-1,-1,,,,,,,,,[]
Automatic notification prevention lock release,3,Automatic notification prevention lock release,1,1,39,0,1,0x78674E05,0x2E,0x407C,,,,,,,,,,,,,,,,,[]
Automatic notification prevention lock release,3,Current Status,1,1,40,41,1,0x78674E05,0x22,0x12B,,0,3,1,2,-1,-1,-1,1,0,0,22000023,Unlock,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 22000023, 'range_label': 'Unlock'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 8001633, 'range_label': 'ECU malfunction'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 9100035, 'range_label': 'Lock'}, {'no': 4, 'up_bound': 4, 'low_bound': 3, 'range_id': 22000023, 'range_label': 'Unlock'}]"
Setting change,1,TCU ACTIVATE SETTING,1,1,25,0,1,0x78674E05,0x2E,0x40E0,,0,3,1,2,-1,-1,-1,,,,,,,,,[]
Setting change,2,e-Call activate setting,1,1,35,63,1,0x78674E05,0x2E,0x401D,,0,3,1,2,-1,-1,-1,,,,,,,,,[]
Setting change,1,Radio wave,6,5,10,20,1,0x78674E05,0x22,0x40E0,,0,3,1,2,-1,-1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Setting change,2,e-Call activate setting,1,1,37,38,1,0x78674E05,0x22,0x401D,,0,3,1,2,-1,-1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Chassis No./VIN Information,Idle control,Dummy1,1,1,23,0,1,0x78674E05,0x22,0xF190,,0,3,17,2,-1,-1,-1,,,,,,,,,[]
Chassis No./VIN Registration,Fuel control,Dummy1,1,1,23,0,1,0x78674E05,0x22,0xF190,,0,3,17,2,-1,-1,-1,,,,,,,,,[]
Chassis No./VIN Registration,Fuel control,Dummy2,2,2,24,0,1,0x78674E05,0x2E,0xF190,,0,3,17,2,-1,-1,-1,,,,,,,,,[]
Network initial settings,All data,Radio wave strength (dBm),10,10,67,79,1,0x78674E05,0x22,0x107,,0,3,1,2,-1,-1,-1,1,0,0,8002461,-113dBm or less,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 8002461, 'range_label': '-113dBm or less'}, {'no': 2, 'up_bound': 30, 'low_bound': 1, 'range_id': 0, 'range_label': None}, {'no': 3, 'up_bound': 31, 'low_bound': 31, 'range_id': 8002466, 'range_label': '-51dBm or greater'}, {'no': 4, 'up_bound': 255, 'low_bound': 255, 'range_id': 8001634, 'range_label': 'Not detectable'}]"
Network initial settings,All data,Radio wave condition (reference),11,11,43,48,1,0x78674E05,0x22,0x107,,0,3,1,2,-1,-1,-1,1,8,0,22900839,NG,0,0,0,"[{'no': 1, 'up_bound': 8, 'low_bound': 0, 'range_id': 22900839, 'range_label': 'NG'}, {'no': 2, 'up_bound': 49, 'low_bound': 9, 'range_id': 1100004, 'range_label': 'OK'}, {'no': 3, 'up_bound': 255, 'low_bound': 255, 'range_id': 8001634, 'range_label': 'Not detectable'}]"
Network initial settings,All data,Network initial setting state,20,20,44,49,1,0x78674E05,0x22,0x10B,,0,3,1,2,-1,-1,-1,1,0,0,1001335,Not yet performed,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1001335, 'range_label': 'Not yet performed'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 8001578, 'range_label': 'Not completed:1'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 8001580, 'range_label': 'Not completed:3'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 8001582, 'range_label': 'Not completed:5'}, {'no': 5, 'up_bound': 4, 'low_bound': 4, 'range_id': 8001584, 'range_label': 'Not completed:7'}, {'no': 6, 'up_bound': 5, 'low_bound': 5, 'range_id': 8001635, 'range_label': 'Not completed:12'}, {'no': 7, 'up_bound': 6, 'low_bound': 6, 'range_id': 1000010, 'range_label': 'Completed'}]"
Network initial settings,All data,http error code,30,30,45,50,1,0x78674E05,0x22,0x10B,,0,4,2,2,-1,-1,-1,1,0,0,8001636,No error,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 8001636, 'range_label': 'No error'}, {'no': 2, 'up_bound': 65535, 'low_bound': 1, 'range_id': 0, 'range_label': None}]"
Network initial settings,All data,Data Channel,40,40,46,51,1,0x78674E05,0x22,0x11B,,0,3,1,2,-1,-1,-1,1,0,0,13000097,14,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 13000097, 'range_label': '14'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 10001, 'range_label': '1'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 10002, 'range_label': '2'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 10003, 'range_label': '3'}, {'no': 5, 'up_bound': 255, 'low_bound': 255, 'range_id': 10004, 'range_label': '4'}]"
Network initial settings,All data,IP address,50,50,47,52,1,0x78674E05,0x22,0x11C,,0,3,1,2,-1,-1,-1,1,0,0,10001,1,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 10001, 'range_label': '1'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 10002, 'range_label': '2'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 10003, 'range_label': '3'}]"
Network initial settings,All data,GSM reception Level,110,110,68,80,1,0x78674E05,0x22,0x103,%,0,3,1,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Network initial settings,All data,A-IVC State,120,120,69,81,1,0x78674E05,0x22,0x10A,,0,3,1,2,-1,-1,-1,1,0,0,8002479,StOn ($00),0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 8002479, 'range_label': 'StOn ($00)'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 8002482, 'range_label': 'StOnRFOff ($01)'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 8002483, 'range_label': 'StOnSwap ($02)'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 8002468, 'range_label': 'StDisc ($03)'}, {'no': 5, 'up_bound': 4, 'low_bound': 4, 'range_id': 8002469, 'range_label': 'StDrx ($04)'}, {'no': 6, 'up_bound': 5, 'low_bound': 5, 'range_id': 8002470, 'range_label': 'StDrxDisc ($05)'}, {'no': 7, 'up_bound': 6, 'low_bound': 6, 'range_id': 8002477, 'range_label': 'StOffSms ($06)'}, {'no': 8, 'up_bound': 7, 'low_bound': 7, 'range_id': 8002474, 'range_label': 'StOffData ($07)'}, {'no': 9, 'up_bound': 8, 'low_bound': 8, 'range_id': 8002473, 'range_label': 'StOff ($08)'}, {'no': 10, 'up_bound': 9, 'low_bound': 9, 'range_id': 8002476, 'range_label': 'StOffRFOff ($09)'}, {'no': 11, 'up_bound': 10, 'low_bound': 10, 'range_id': 8002478, 'range_label': 'StOffSwap ($0A)'}, {'no': 12, 'up_bound': 11, 'low_bound': 11, 'range_id': 8002472, 'range_label': 'StFota ($0B)'}, {'no': 13, 'up_bound': 12, 'low_bound': 12, 'range_id': 8002471, 'range_label': 'StECall ($0C)'}, {'no': 14, 'up_bound': 13, 'low_bound': 13, 'range_id': 8002467, 'range_label': 'StCallBack ($0D)'}, {'no': 15, 'up_bound': 14, 'low_bound': 14, 'range_id': 8002486, 'range_label': 'StReprog ($0E)'}, {'no': 16, 'up_bound': 15, 'low_bound': 15, 'range_id': 8002481, 'range_label': 'StOnInit ($0F)'}, {'no': 17, 'up_bound': 16, 'low_bound': 16, 'range_id': 8002480, 'range_label': 'StOnErr ($10)'}, {'no': 18, 'up_bound': 17, 'low_bound': 17, 'range_id': 8002475, 'range_label': 'StOffInit ($11)'}, {'no': 19, 'up_bound': 18, 'low_bound': 18, 'range_id': 8002485, 'range_label': 'StPrEcall ($12)'}, {'no': 20, 'up_bound': 19, 'low_bound': 19, 'range_id': 8002484, 'range_label': 'StPrCallback ($13)'}]"
Network initial settings,All data,BER,130,130,70,82,1,0x78674E05,0x22,0x119,,0,3,1,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Network initial settings,All data,Network monitoring (from NOK to OK),140,140,71,83,1,0x78674E05,0x22,0x123,,0,3,19,2,-1,-1,-1,,,,,,,,,[]
Network initial settings,All data,Network monitoring (from OK to NOK),150,150,72,84,1,0x78674E05,0x22,0x123,,0,22,19,2,-1,-1,-1,,,,,,,,,[]
Network initial settings,All data,AT+CREG,160,160,73,85,1,0x78674E05,0x22,0x138,,0,3,1,2,-1,-1,-1,1,0,0,8002459,0: Not registered,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 8002459, 'range_label': '0: Not registered'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 8002460, 'range_label': '1: Registered home network'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 8002462, 'range_label': '2: Not registered'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 8002463, 'range_label': '3: Registration denied'}, {'no': 5, 'up_bound': 4, 'low_bound': 4, 'range_id': 8002464, 'range_label': '4: Unknown'}, {'no': 6, 'up_bound': 5, 'low_bound': 5, 'range_id': 8002465, 'range_label': '5: Registered roaming'}]"
Network initial settings,All data,AT+CGREG,170,170,74,86,1,0x78674E05,0x22,0x139,,0,3,1,2,-1,-1,-1,1,0,0,8002459,0: Not registered,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 8002459, 'range_label': '0: Not registered'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 8002460, 'range_label': '1: Registered home network'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 8002462, 'range_label': '2: Not registered'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 8002463, 'range_label': '3: Registration denied'}, {'no': 5, 'up_bound': 4, 'low_bound': 4, 'range_id': 8002464, 'range_label': '4: Unknown'}, {'no': 6, 'up_bound': 5, 'low_bound': 5, 'range_id': 8002465, 'range_label': '5: Registered roaming'}]"
Network initial settings,All data,Remote order frame,180,180,75,87,1,0x78674E05,0x22,0x140,,0,3,16,2,-1,-1,-1,,,,,,,,,[]
Network initial settings,All data,Vehicle ACK frame,190,190,76,88,1,0x78674E05,0x22,0x141,,0,3,16,2,-1,-1,-1,,,,,,,,,[]
Network initial settings,All data,Key Storage Status,200,200,77,89,1,0x78674E05,0x22,0x154,,0,3,1,2,-1,-1,-1,1,0,0,8002488,Request pending,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 8002488, 'range_label': 'Request pending'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 8002487, 'range_label': 'Requested'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 8002489, 'range_label': 'Stored'}]"
