function,group,item,no,no_nas,qual_id,su_qual_id,visible,skey_sid_hex,qual_sid_hex,qual_lid_hex,param_unit,param_data_type,param_byte_pos,param_byte_len,param_byte_ord,param_bit_pos,param_bit_len,param_bit_mask,scale_no,scale_up_bound,scale_low_bound,scale_range_id,scale_range_label,scale_factor,scale_offset,scale_format,scale_labels
Data List,All data,ACCUMULATION CHARGE NUMBER OF TIMES(100V),1,5,11,0,1,0x38EA51,0x22,0x101,,0,3,2,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,ACCUMULATION CHARGE NUMBER OF TIMES(200V),2,6,12,0,1,0x38EA51,0x22,0x101,,0,5,2,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,ACCUMULATION CHARGE TIMES(100V),3,7,13,0,1,0x38EA51,0x22,0x101,,0,7,3,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,ACCUMULATION CHARGE TIMES(200V),4,8,14,0,1,0x38EA51,0x22,0x101,,0,10,3,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,This charge time,5,55,15,0,1,0x38EA51,0x22,0x105,min,0,3,2,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,ACCUMULATION ABNORMALITY STOP NUMBER OF TIMES,6,4,16,0,1,0x38EA51,0x22,0x106,,0,3,1,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,CHOT STATUS,7,17,17,0,1,0x38EA51,0x22,0x107,,1,3,1,2,0,1,-1,1,0,0,59300019,Lo,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 59300019, 'range_label': 'Lo'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 59300020, 'range_label': 'Hi'}]"
Data List,All data,PLUGIN CHG STATUS,8,50,18,0,1,0x38EA51,0x22,0x107,,1,3,1,2,1,1,-1,1,0,0,8001967,No HV charge,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 8001967, 'range_label': 'No HV charge'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 8001971, 'range_label': 'HV battery Charge'}]"
Data List,All data,ABNORMAL STOP INFORMATION,9,1,19,0,1,0x38EA51,0x22,0x107,,1,3,1,2,2,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Data List,All data,EEPROM write complete,10,30,20,0,1,0x38EA51,0x22,0x107,,1,3,1,2,3,1,-1,1,0,0,7000464,Complete,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 7000464, 'range_label': 'Complete'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 8001973, 'range_label': 'In writing'}]"
