function,group,item,no,no_nas,qual_id,su_qual_id,visible,skey_sid_hex,qual_sid_hex,qual_lid_hex,param_unit,param_data_type,param_byte_pos,param_byte_len,param_byte_ord,param_bit_pos,param_bit_len,param_bit_mask,scale_no,scale_up_bound,scale_low_bound,scale_range_id,scale_range_label,scale_factor,scale_offset,scale_format,scale_labels
Data List,All data,Power liftgate status,1,26,2,0,1,0x74D3BF99,0x22,0x413,,1,3,1,2,0,2,-1,1,0,0,8001475,NG 1,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 8001475, 'range_label': 'NG 1'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 8001476, 'range_label': 'NG 2'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 3000316, 'range_label': 'Not used'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 9100094, 'range_label': 'Normal'}]"
Data List,All data,ABD position learn status,2,6,3,0,1,0x74D3BF99,0x22,0x414,,1,3,1,2,0,1,-1,1,0,0,8001491,Yet,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 8001491, 'range_label': 'Yet'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 33000218, 'range_label': 'Done'}]"
Data List,All data,Power liftgate close SW,3,25,4,0,1,0x74D3BF99,0x22,0x415,,1,3,1,2,0,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Data List,All data,Power liftgate SW,4,27,5,0,1,0x74D3BF99,0x22,0x416,,1,3,1,2,0,2,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 8001488, 'range_label': 'Short'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 8001489, 'range_label': 'Long'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 3000316, 'range_label': 'Not used'}]"
Data List,All data,Lock & close SW,5,15,6,0,1,0x74D3BF99,0x22,0x417,,1,3,1,2,0,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Data List,All data,Keyless signal (Power liftgate),6,14,7,0,1,0x74D3BF99,0x22,0x418,,1,3,1,2,0,2,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 8001488, 'range_label': 'Short'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 8001489, 'range_label': 'Long'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 3000316, 'range_label': 'Not used'}]"
Data List,All data,ABD OPE REQ (opener SW),7,3,8,0,1,0x74D3BF99,0x22,0x419,,1,3,1,2,0,2,-1,1,0,0,3000316,Not used,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 3000316, 'range_label': 'Not used'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 1000004, 'range_label': 'ON'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 3000316, 'range_label': 'Not used'}]"
Data List,All data,ABD OPE REQ (hands free),8,2,9,0,1,0x74D3BF99,0x22,0x420,,1,3,1,2,0,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Data List,All data,Spindle sensor LH,9,30,10,0,1,0x74D3BF99,0x22,0x421,Pulse,0,3,2,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Spindle sensor RH,10,31,11,0,1,0x74D3BF99,0x22,0x426,Pulse,0,3,2,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
