function,group,item,no,no_nas,qual_id,su_qual_id,visible,skey_sid_hex,qual_sid_hex,qual_lid_hex,param_unit,param_data_type,param_byte_pos,param_byte_len,param_byte_ord,param_bit_pos,param_bit_len,param_bit_mask,scale_no,scale_up_bound,scale_low_bound,scale_range_id,scale_range_label,scale_factor,scale_offset,scale_format,scale_labels
Data List,All data,EV ECU MODE,1,14,6,79,1,0x39FBC1,0x22,0x100,,1,3,1,2,0,4,-1,1,1,1,83000002,IG-OFF,0,0,0,"[{'no': 1, 'up_bound': 1, 'low_bound': 1, 'range_id': 83000002, 'range_label': 'IG-OFF'}, {'no': 2, 'up_bound': 2, 'low_bound': 2, 'range_id': 8001900, 'range_label': 'RESET'}, {'no': 3, 'up_bound': 3, 'low_bound': 3, 'range_id': 8001902, 'range_label': 'High voltage On'}, {'no': 4, 'up_bound': 4, 'low_bound': 4, 'range_id': 8001898, 'range_label': 'Torque control'}, {'no': 5, 'up_bound': 5, 'low_bound': 5, 'range_id': 8001901, 'range_label': 'High Voltage Off'}, {'no': 6, 'up_bound': 6, 'low_bound': 6, 'range_id': 8001897, 'range_label': 'Charge control'}, {'no': 7, 'up_bound': 7, 'low_bound': 7, 'range_id': 8001899, 'range_label': 'Flash writing'}]"
Data List,All data,FMTR COIL TEMP1,2,28,7,80,1,0x39FBC1,0x22,0x101,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,FMTR COIL TEMP2,3,29,8,81,1,0x39FBC1,0x22,0x102,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,FMTR COIL TEMP3,4,30,9,82,1,0x39FBC1,0x22,0x103,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,GEN COIL TEMP,5,42,10,83,1,0x39FBC1,0x22,0x104,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,FMCU IGBT U MAXTEMP,6,18,11,84,1,0x39FBC1,0x22,0x105,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,FMCU IGBT V MAXTEMP,7,19,12,85,1,0x39FBC1,0x22,0x106,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,FMCU IGBT W MAXTEMP,8,20,13,86,1,0x39FBC1,0x22,0x107,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,GCU IGBT U MAXTEMP,9,37,14,87,1,0x39FBC1,0x22,0x108,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,GCU IGBT V MAXTEMP,10,38,15,88,1,0x39FBC1,0x22,0x109,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,GCU IGBT W MAXTEMP,11,39,16,89,1,0x39FBC1,0x22,0x10A,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,VCU IGBT S1 TEMP,12,65,17,90,1,0x39FBC1,0x22,0x10B,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,VCU IGBT S2 TEMP,13,66,18,91,1,0x39FBC1,0x22,0x10C,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,VCU IGBT S3 TEMP,14,67,19,92,1,0x39FBC1,0x22,0x10D,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,VCU IGBT S4 TEMP,15,68,20,93,1,0x39FBC1,0x22,0x10E,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,PDU CPU TEMP,16,56,21,94,1,0x39FBC1,0x22,0x10F,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,PDU CAP0 TEMP,17,54,22,95,1,0x39FBC1,0x22,0x110,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,PDU CAP2 TEMP,18,55,23,96,1,0x39FBC1,0x22,0x111,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,VCU REACT TEMP,19,69,24,97,1,0x39FBC1,0x22,0x112,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,PDU OIL TEMP,20,58,25,98,1,0x39FBC1,0x22,0x113,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,WT MOTOR,21,73,26,99,1,0x39FBC1,0x22,0x114,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,FMTR TRQ LMT RQ,22,33,27,100,1,0x39FBC1,0x22,0x115,,1,3,1,2,0,3,-1,1,0,0,8001906,No limit,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 8001906, 'range_label': 'No limit'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 8001908, 'range_label': 'Torque limit level1'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 8001910, 'range_label': 'Torque limit level2'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 8001912, 'range_label': 'Torque limit level3'}, {'no': 5, 'up_bound': 4, 'low_bound': 4, 'range_id': 8001913, 'range_label': 'Torque limit level4'}, {'no': 6, 'up_bound': 5, 'low_bound': 5, 'range_id': 8001914, 'range_label': 'Torque limit level5'}, {'no': 7, 'up_bound': 6, 'low_bound': 6, 'range_id': 8001915, 'range_label': 'Torque limit level6'}, {'no': 8, 'up_bound': 7, 'low_bound': 7, 'range_id': 8001916, 'range_label': 'Torque limit level7'}]"
Data List,All data,FMTR SPD LMT RQ,23,31,28,101,1,0x39FBC1,0x22,0x116,,1,3,1,2,0,2,-1,1,0,0,8001906,No limit,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 8001906, 'range_label': 'No limit'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 8001907, 'range_label': 'Speed limit level1'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 8001909, 'range_label': 'Speed limit level2'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 8001911, 'range_label': 'Speed limit level3'}]"
