function,group,item,no,no_nas,qual_id,su_qual_id,visible,skey_sid_hex,qual_sid_hex,qual_lid_hex,param_unit,param_data_type,param_byte_pos,param_byte_len,param_byte_ord,param_bit_pos,param_bit_len,param_bit_mask,scale_no,scale_up_bound,scale_low_bound,scale_range_id,scale_range_label,scale_factor,scale_offset,scale_format,scale_labels
Data List,All data,Horizontal Alignment value on EEPROM,1,1,11,51,1,0x6A192D55,0x22,0x100,deg,0,3,2,2,-1,-1,-1,1,0,0,0,,0.01,0,1,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Vertical Alignment value on EEPROM,2,22,12,51,1,0x6A192D55,0x22,0x100,deg,0,5,2,2,-1,-1,-1,1,0,0,0,,0.01,0,1,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Horizontal Alignment value on EEPROM,3,2,13,51,1,0x6A192D55,0x22,0x100,deg,0,7,2,2,-1,-1,-1,1,0,0,0,,0.01,0,2,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Vertical Alignment value on EEPROM,4,23,14,51,1,0x6A192D55,0x22,0x100,deg,0,9,2,2,-1,-1,-1,1,0,0,0,,0.01,0,2,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Status for Alignment,5,21,15,51,1,0x6A192D55,0x22,0x100,,0,11,1,2,-1,-1,-1,1,0,0,7000025,Alignment conditions set,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 7000025, 'range_label': 'Alignment conditions set'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 7000039, 'range_label': 'Not ready (Moving)'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 7000041, 'range_label': 'Not ready (System Fail)'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 7000040, 'range_label': 'Not ready (System Fail & Moving)'}]"
Data List,All data,State of radar in alignment,6,20,16,51,1,0x6A192D55,0x22,0x100,,0,12,1,2,-1,-1,-1,1,0,0,7000042,Not Started,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 7000042, 'range_label': 'Not Started'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 7000030, 'range_label': 'Executed without errors'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 7000029, 'range_label': 'Error (Thresholds exceeded)'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 7000028, 'range_label': 'Error (Internal failure)'}, {'no': 5, 'up_bound': 4, 'low_bound': 4, 'range_id': 7000037, 'range_label': 'No valid target found'}, {'no': 6, 'up_bound': 5, 'low_bound': 5, 'range_id': 7000038, 'range_label': 'Not executed with in Time'}, {'no': 7, 'up_bound': 6, 'low_bound': 6, 'range_id': 8002142, 'range_label': 'Running'}, {'no': 8, 'up_bound': 7, 'low_bound': 7, 'range_id': 7000046, 'range_label': 'Vehicle moving'}]"
Data List,All data,SDA Status,7,19,24,54,1,0x6A192D55,0x22,0x3000,,0,3,1,2,-1,-1,-1,1,0,0,7000026,Correct (Successful),0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 7000026, 'range_label': 'Correct (Successful)'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 8001637, 'range_label': 'Aborted'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 7000034, 'range_label': 'In progress (Running)'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 7000044, 'range_label': 'Time Out (Need to discuss)'}, {'no': 5, 'up_bound': 4, 'low_bound': 4, 'range_id': 7000029, 'range_label': 'Error (Thresholds exceeded)'}]"
Data List,All data,Radar AEB sensor Status,8,3,36,58,1,0x6A192D55,0x22,0x6010,,0,3,1,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Radar Sensor Misalignment,9,17,37,58,1,0x6A192D55,0x22,0x6010,,0,4,1,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Radar Calibration Status,10,5,38,58,1,0x6A192D55,0x22,0x6010,,0,5,1,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Radar High Temperature Status,11,11,39,58,1,0x6A192D55,0x22,0x6010,,0,6,1,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Radar Initialization Status,12,12,40,58,1,0x6A192D55,0x22,0x6010,,0,7,1,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Radar Partial Blockage,13,15,41,58,1,0x6A192D55,0x22,0x6010,,0,8,1,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Radar Full Blockage,14,10,42,58,1,0x6A192D55,0x22,0x6010,,0,9,1,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Radar Blindness Status,15,4,43,58,1,0x6A192D55,0x22,0x6010,,0,10,1,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Radar Ego Data Plausibility Status,16,8,44,58,1,0x6A192D55,0x22,0x6010,,0,11,1,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Radar Configuration Status,17,7,45,58,1,0x6A192D55,0x22,0x6010,,0,12,1,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
