function,group,item,no,no_nas,qual_id,su_qual_id,visible,skey_sid_hex,qual_sid_hex,qual_lid_hex,param_unit,param_data_type,param_byte_pos,param_byte_len,param_byte_ord,param_bit_pos,param_bit_len,param_bit_mask,scale_no,scale_up_bound,scale_low_bound,scale_range_id,scale_range_label,scale_factor,scale_offset,scale_format,scale_labels
Data List,All data,EV ECU MODE,1,7,11,56,1,0x3A22D1,0x22,0x100,,1,3,1,2,0,4,-1,1,1,1,83000002,IG-OFF,0,0,0,"[{'no': 1, 'up_bound': 1, 'low_bound': 1, 'range_id': 83000002, 'range_label': 'IG-OFF'}, {'no': 2, 'up_bound': 2, 'low_bound': 2, 'range_id': 8001900, 'range_label': 'RESET'}, {'no': 3, 'up_bound': 3, 'low_bound': 3, 'range_id': 8001902, 'range_label': 'High voltage On'}, {'no': 4, 'up_bound': 4, 'low_bound': 4, 'range_id': 8001898, 'range_label': 'Torque control'}, {'no': 5, 'up_bound': 5, 'low_bound': 5, 'range_id': 8001901, 'range_label': 'High Voltage Off'}, {'no': 6, 'up_bound': 6, 'low_bound': 6, 'range_id': 8001897, 'range_label': 'Charge control'}, {'no': 7, 'up_bound': 7, 'low_bound': 7, 'range_id': 8001899, 'range_label': 'Flash writing'}]"
Data List,All data,RMTR COIL TEMP1,2,37,12,57,1,0x3A22D1,0x22,0x101,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,RMTR COIL TEMP2,3,38,13,58,1,0x3A22D1,0x22,0x102,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,RMCU IGBT TEMP1,4,24,14,59,1,0x3A22D1,0x22,0x103,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,RMCU IGBT TEMP2,5,25,15,60,1,0x3A22D1,0x22,0x104,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,RMCU IGBT TEMP3,6,26,16,61,1,0x3A22D1,0x22,0x105,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,RMCU IGBT TEMP4,7,27,17,62,1,0x3A22D1,0x22,0x106,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,RMCU IGBT TEMP5,8,28,18,63,1,0x3A22D1,0x22,0x107,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,RMCU IGBT TEMP6,9,29,19,64,1,0x3A22D1,0x22,0x108,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,RMCU CPU TEMP,10,20,20,65,1,0x3A22D1,0x22,0x109,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,RMCU CAP TEMP,11,19,21,66,1,0x3A22D1,0x22,0x10A,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,RMCU WATER TEMP,12,30,22,67,1,0x3A22D1,0x22,0x10B,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,RMTR TRQ LMT RQ,13,41,23,68,1,0x3A22D1,0x22,0x10C,,1,3,1,2,0,3,-1,1,0,0,8001906,No limit,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 8001906, 'range_label': 'No limit'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 8001908, 'range_label': 'Torque limit level1'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 8001910, 'range_label': 'Torque limit level2'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 8001912, 'range_label': 'Torque limit level3'}, {'no': 5, 'up_bound': 4, 'low_bound': 4, 'range_id': 8001913, 'range_label': 'Torque limit level4'}, {'no': 6, 'up_bound': 5, 'low_bound': 5, 'range_id': 8001914, 'range_label': 'Torque limit level5'}, {'no': 7, 'up_bound': 6, 'low_bound': 6, 'range_id': 8001915, 'range_label': 'Torque limit level6'}, {'no': 8, 'up_bound': 7, 'low_bound': 7, 'range_id': 8001916, 'range_label': 'Torque limit level7'}]"
Data List,All data,RMTR SPD LMT RQ,14,39,24,69,1,0x3A22D1,0x22,0x10D,,1,3,1,2,0,2,-1,1,0,0,8001906,No limit,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 8001906, 'range_label': 'No limit'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 8001907, 'range_label': 'Speed limit level1'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 8001909, 'range_label': 'Speed limit level2'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 8001911, 'range_label': 'Speed limit level3'}]"
Data List,All data,RMOTOR TRQ RQ,15,36,25,70,1,0x3A22D1,0x22,0x10E,Nm,0,3,2,2,-1,-1,-1,1,0,0,0,,0.1,-1000,1,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
