function,group,item,no,no_nas,qual_id,su_qual_id,visible,skey_sid_hex,qual_sid_hex,qual_lid_hex,param_unit,param_data_type,param_byte_pos,param_byte_len,param_byte_ord,param_bit_pos,param_bit_len,param_bit_mask,scale_no,scale_up_bound,scale_low_bound,scale_range_id,scale_range_label,scale_factor,scale_offset,scale_format,scale_labels
Data List,All data,Front left radar position (long),1,9,69,88,1,0x7AC9A995,0x22,0x2000,mm,0,40,3,2,-1,-1,262140,1,0,0,0,,0.25,-25000,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Front left radar position (lateral),2,8,70,88,1,0x7AC9A995,0x22,0x2000,mm,0,42,3,2,-1,-1,262140,1,0,0,0,,0.25,-25000,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Front left radar position (azimuth angle),3,7,71,88,1,0x7AC9A995,0x22,0x2000,deg,0,46,3,2,-1,-1,262140,1,0,0,0,,0.0025,-180,2,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Front right radar position (long),4,12,72,88,1,0x7AC9A995,0x22,0x2000,mm,0,52,3,2,-1,-1,131070,1,0,0,0,,0.5,-25000,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Front right radar position (lateral),5,11,73,88,1,0x7AC9A995,0x22,0x2000,mm,0,54,3,2,-1,-1,131070,1,0,0,0,,0.5,-25000,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Front right radar position (azimuth angle),6,10,74,88,1,0x7AC9A995,0x22,0x2000,deg,0,58,3,2,-1,-1,131070,1,0,0,0,,0.005,-180,2,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Rear left radar position (long),7,21,75,88,1,0x7AC9A995,0x22,0x2000,mm,0,65,3,2,-1,-1,8388480,1,0,0,0,,0.0078125,-25000,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Rear left radar position (lateral),8,20,76,88,1,0x7AC9A995,0x22,0x2000,mm,0,67,3,2,-1,-1,8388480,1,0,0,0,,0.0078125,-25000,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Rear left radar position (azimuth angle),9,19,77,88,1,0x7AC9A995,0x22,0x2000,deg,0,71,3,2,-1,-1,8388480,1,0,0,0,,0.000078125,-180,2,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Rear right radar position (long),10,24,78,88,1,0x7AC9A995,0x22,0x2000,mm,0,77,3,2,-1,-1,4194240,1,0,0,0,,0.015625,-25000,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Rear right radar position (lateral),11,23,79,88,1,0x7AC9A995,0x22,0x2000,mm,0,79,3,2,-1,-1,4194240,1,0,0,0,,0.015625,-25000,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Rear right radar position (azimuth angle),12,22,80,88,1,0x7AC9A995,0x22,0x2000,deg,0,83,3,2,-1,-1,4194240,1,0,0,0,,0.00015625,-180,2,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,BSW activation,13,1,81,89,1,0x7AC9A995,0x22,0x2101,,1,3,1,2,7,1,-1,1,0,0,8002134,BSW deactivated,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 8002134, 'range_label': 'BSW deactivated'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 8002135, 'range_label': 'BSW activated'}]"
