function,group,item,no,no_nas,qual_id,su_qual_id,visible,skey_sid_hex,qual_sid_hex,qual_lid_hex,param_unit,param_data_type,param_byte_pos,param_byte_len,param_byte_ord,param_bit_pos,param_bit_len,param_bit_mask,scale_no,scale_up_bound,scale_low_bound,scale_range_id,scale_range_label,scale_factor,scale_offset,scale_format,scale_labels
Data List,All data,VEHICLE SPEED,1,44,2,56,1,0x3D3011,0x22,0x2030,km/h,0,3,2,2,-1,-1,-1,1,0,0,0,,0.01,0,2,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,SONAR C/U POWER SUPPLY,2,42,3,57,1,0x3D3011,0x22,0x2031,V,0,3,1,2,-1,-1,-1,1,0,0,0,,0.1,0,1,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,DETECTION MODE,3,22,4,58,1,0x3D3011,0x22,0x2033,,0,3,1,2,-1,-1,-1,1,0,0,8002016,Maneuver,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 8002016, 'range_label': 'Maneuver'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 8002017, 'range_label': 'Normal'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 8002018, 'range_label': 'Standby'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 8002019, 'range_label': 'Error'}]"
Data List,All data,SHRT DST FRM RR SENS,4,41,5,59,1,0x3D3011,0x22,0x2035,cm,0,3,1,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,SHRT DST FRM FR SENS,5,40,6,60,1,0x3D3011,0x22,0x2036,cm,0,3,1,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,RSL,6,36,7,61,1,0x3D3011,0x22,0x2037,cm,0,3,1,2,-1,-1,-1,1,0,0,0,,2,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,RSL_ROL,7,37,8,61,1,0x3D3011,0x22,0x2037,cm,0,4,1,2,-1,-1,-1,1,0,0,0,,2,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,ROL_RSL,8,34,9,61,1,0x3D3011,0x22,0x2037,cm,0,5,1,2,-1,-1,-1,1,0,0,0,,2,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,COR[RL],9,18,10,61,1,0x3D3011,0x22,0x2037,cm,0,6,1,2,-1,-1,-1,1,0,0,0,,2,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,COR[RL]->CEN[RL]/CEN[R],10,19,11,61,1,0x3D3011,0x22,0x2037,cm,0,7,1,2,-1,-1,-1,1,0,0,0,,2,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,CEN[RL]/CEN[R]->COR[RL],11,8,12,61,1,0x3D3011,0x22,0x2037,cm,0,8,1,2,-1,-1,-1,1,0,0,0,,2,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,CEN[RL]/CEN[R],12,7,13,61,1,0x3D3011,0x22,0x2037,cm,0,9,1,2,-1,-1,-1,1,0,0,0,,2,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,CEN[RL]->CEN[RR],13,9,14,61,1,0x3D3011,0x22,0x2037,cm,0,10,1,2,-1,-1,-1,1,0,0,0,,2,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,CEN[RR]->CEN[RL],14,12,15,61,1,0x3D3011,0x22,0x2037,cm,0,11,1,2,-1,-1,-1,1,0,0,0,,2,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,CEN[RR],15,10,16,61,1,0x3D3011,0x22,0x2037,cm,0,12,1,2,-1,-1,-1,1,0,0,0,,2,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,CEN[RR]/CEN[R]->COR[RR],16,11,17,61,1,0x3D3011,0x22,0x2037,cm,0,18,1,2,-1,-1,-1,1,0,0,0,,2,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,COR[RR]->CEN[RR]/CEN[R],17,21,18,61,1,0x3D3011,0x22,0x2037,cm,0,13,1,2,-1,-1,-1,1,0,0,0,,2,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,COR[RR],18,20,19,61,1,0x3D3011,0x22,0x2037,cm,0,14,1,2,-1,-1,-1,1,0,0,0,,2,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,ROR_RSR,19,35,20,61,1,0x3D3011,0x22,0x2037,cm,0,15,1,2,-1,-1,-1,1,0,0,0,,2,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,RSR_ROR,20,39,21,61,1,0x3D3011,0x22,0x2037,cm,0,16,1,2,-1,-1,-1,1,0,0,0,,2,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,RSR,21,38,22,61,1,0x3D3011,0x22,0x2037,cm,0,17,1,2,-1,-1,-1,1,0,0,0,,2,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,FSL,22,29,23,62,1,0x3D3011,0x22,0x2038,cm,0,3,1,2,-1,-1,-1,1,0,0,0,,2,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
