function,group,item,no,no_nas,qual_id,su_qual_id,visible,skey_sid_hex,qual_sid_hex,qual_lid_hex,param_unit,param_data_type,param_byte_pos,param_byte_len,param_byte_ord,param_bit_pos,param_bit_len,param_bit_mask,scale_no,scale_up_bound,scale_low_bound,scale_range_id,scale_range_label,scale_factor,scale_offset,scale_format,scale_labels
Data List,All data,Compressor request 1,1,10,5,231,1,0x6D142091,0x22,0x1066,,1,3,1,2,7,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Data List,All data,Easy fill tyre alert horn req,2,23,6,0,1,0x6D142091,0x22,0x1066,,1,3,1,2,6,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Data List,All data,Cranking enable-TCM,3,15,7,231,1,0x6D142091,0x22,0x1066,,1,3,1,2,0,3,-1,1,0,0,7000944,Unavailable Value,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 7000944, 'range_label': 'Unavailable Value'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000788, 'range_label': 'Prohibit'}, {'no': 3, 'up_bound': 3, 'low_bound': 2, 'range_id': 7000577, 'range_label': 'Not Used'}, {'no': 4, 'up_bound': 4, 'low_bound': 4, 'range_id': 7000644, 'range_label': 'Permit'}, {'no': 5, 'up_bound': 6, 'low_bound': 5, 'range_id': 7000577, 'range_label': 'Not Used'}, {'no': 6, 'up_bound': 7, 'low_bound': 7, 'range_id': 30000026, 'range_label': 'Stop'}]"
Data List,All data,Cranking enable-ECM,4,14,8,0,1,0x6D142091,0x22,0x1066,,1,5,1,2,2,2,-1,1,0,0,1000788,Prohibit,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000788, 'range_label': 'Prohibit'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 7000644, 'range_label': 'Permit'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 30000026, 'range_label': 'Stop'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 3000218, 'range_label': 'No request'}]"
Data List,All data,DTRL REQ,5,22,9,0,1,0x6D142091,0x22,0x1066,,1,5,1,2,1,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Data List,All data,COOLING FAN REQ,6,13,10,0,1,0x6D142091,0x22,0x1066,%,1,14,1,2,1,7,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,FR WIPER REQ,7,26,11,0,1,0x6D142091,0x22,0x1066,,1,15,1,2,5,3,-1,1,0,0,8002053,Return,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 8002053, 'range_label': 'Return'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 30000026, 'range_label': 'Stop'}, {'no': 3, 'up_bound': 4, 'low_bound': 2, 'range_id': 22900839, 'range_label': 'NG'}, {'no': 4, 'up_bound': 5, 'low_bound': 5, 'range_id': 7000577, 'range_label': 'Not Used'}, {'no': 5, 'up_bound': 6, 'low_bound': 6, 'range_id': 8001702, 'range_label': 'LOW'}, {'no': 6, 'up_bound': 7, 'low_bound': 7, 'range_id': 8001703, 'range_label': 'HIGH'}]"
Data List,All data,HIGH BEAM REQ,8,43,12,0,1,0x6D142091,0x22,0x1066,,1,17,1,2,0,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Data List,All data,Horn request,9,51,13,0,1,0x6D142091,0x22,0x1066,,1,22,1,2,5,3,-1,1,0,0,3000218,No request,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 3000218, 'range_label': 'No request'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 22000027, 'range_label': 'Panic'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 7000643, 'range_label': 'Hrn chirp'}, {'no': 5, 'up_bound': 4, 'low_bound': 4, 'range_id': 7000577, 'range_label': 'Not Used'}, {'no': 6, 'up_bound': 5, 'low_bound': 5, 'range_id': 7000647, 'range_label': 'Thft warn'}, {'no': 7, 'up_bound': 6, 'low_bound': 6, 'range_id': 7000646, 'range_label': 'Return'}, {'no': 8, 'up_bound': 7, 'low_bound': 7, 'range_id': 22900839, 'range_label': 'NG'}]"
Data List,All data,Low beam request,10,56,14,0,1,0x6D142091,0x22,0x1066,,1,22,1,2,2,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
