function,group,item,no,no_nas,qual_id,su_qual_id,visible,skey_sid_hex,qual_sid_hex,qual_lid_hex,param_unit,param_data_type,param_byte_pos,param_byte_len,param_byte_ord,param_bit_pos,param_bit_len,param_bit_mask,scale_no,scale_up_bound,scale_low_bound,scale_range_id,scale_range_label,scale_factor,scale_offset,scale_format,scale_labels
Data List,All data,VSP OFF INDICATOR,1,11,11,25,1,0x3ABF11,0x21,0x5,,1,2,1,2,5,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Data List,All data,VSP SYSTEM SOUND STATUS,2,14,12,25,1,0x3ABF11,0x21,0x5,,1,2,1,2,2,2,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 8002002, 'range_label': 'START'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 8002003, 'range_label': 'DRIVE'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 8002004, 'range_label': 'REVERSE'}]"
Data List,All data,CHARGE SOUND STATUS,3,2,13,25,1,0x3ABF11,0x21,0x5,,1,3,1,2,6,2,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 8002005, 'range_label': 'PLUG IN'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 8002006, 'range_label': 'CHARGE'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 11000001, 'range_label': 'UNLOCK'}]"
Data List,All data,IGN STATUS SIGNAL,4,5,14,25,1,0x3ABF11,0x21,0x5,,1,4,1,2,7,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Data List,All data,VSP OFF SW,5,12,15,25,1,0x3ABF11,0x21,0x5,,1,4,1,2,6,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Data List,All data,VSP SOUND,6,13,16,25,1,0x3ABF11,0x21,0x5,,1,4,1,2,5,1,-1,1,0,0,1000004,ON,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000004, 'range_label': 'ON'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000003, 'range_label': 'OFF'}]"
Data List,All data,Powertrain Status,7,6,17,25,1,0x3ABF11,0x21,0x5,,1,5,1,2,4,2,-1,1,0,0,8002007,Powertrain Stopped,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 8002007, 'range_label': 'Powertrain Stopped'}, {'no': 2, 'up_bound': 2, 'low_bound': 2, 'range_id': 8002008, 'range_label': 'Powertrain Running'}, {'no': 3, 'up_bound': 3, 'low_bound': 3, 'range_id': 8002009, 'range_label': 'Powertrain Starting'}]"
Data List,All data,CHARGE SOUND REQUEST,8,1,18,25,1,0x3ABF11,0x21,0x5,,1,5,1,2,2,2,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 8002005, 'range_label': 'PLUG IN'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 8002006, 'range_label': 'CHARGE'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 11000001, 'range_label': 'UNLOCK'}]"
Data List,All data,REVERSE BUZZER,9,7,19,25,1,0x3ABF11,0x21,0x5,,1,5,1,2,1,1,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000004, 'range_label': 'ON'}]"
Data List,All data,SHIFT POSITION SIGNAL,10,8,20,25,1,0x3ABF11,0x21,0x5,,1,8,1,2,3,5,-1,1,0,0,1000003,OFF,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 1000003, 'range_label': 'OFF'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 1000583, 'range_label': 'P'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 1000581, 'range_label': 'R'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 1000570, 'range_label': 'N'}, {'no': 5, 'up_bound': 4, 'low_bound': 4, 'range_id': 1100015, 'range_label': 'D'}]"
Data List,All data,VEHICLE SPEED,11,9,21,25,1,0x3ABF11,0x21,0x5,km/h,0,6,2,2,-1,-1,-1,1,0,0,0,,0.01,0,2,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,VHCL SPEED SIGNAL,12,10,22,25,1,0x3ABF11,0x21,0x5,,0,6,2,2,-1,-1,-1,1,65534,0,1001691,NORMAL,0,0,0,"[{'no': 1, 'up_bound': 65534, 'low_bound': 0, 'range_id': 1001691, 'range_label': 'NORMAL'}, {'no': 2, 'up_bound': 65535, 'low_bound': 65535, 'range_id': 8002013, 'range_label': 'INVALID'}]"
Data List,All data,ENGINE RPM,13,4,23,25,1,0x3ABF11,0x21,0x5,r/min,0,9,2,2,-1,-1,-1,1,0,0,0,,0.125,0,1,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,ENG SPEED SIGNAL,14,3,24,25,1,0x3ABF11,0x21,0x5,,0,9,2,2,-1,-1,-1,1,65534,0,1001691,NORMAL,0,0,0,"[{'no': 1, 'up_bound': 65534, 'low_bound': 0, 'range_id': 1001691, 'range_label': 'NORMAL'}, {'no': 2, 'up_bound': 65535, 'low_bound': 65535, 'range_id': 8002013, 'range_label': 'INVALID'}]"
Freeze Frame Data,Fuel control,ODO/TRIP METER,1,1,51,0,1,0x3ABF11,0x19,0x6,km,0,7,3,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
ECU Information,Fuel control,ECU PART NUMBER,1,1,53,0,1,0x3ABF11,0x21,0x83,,0,2,5,2,-1,-1,-1,1,0,0,8002012,285N7,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 8002012, 'range_label': '285N7'}]"
ECU Information,ECU information (items to be sent to the server),Software part number,1,1,53,0,1,0x3ABF11,0x21,0x83,,0,2,5,2,-1,-1,-1,1,0,0,8002012,285N7,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 8002012, 'range_label': '285N7'}]"
ECU Information,ECU information (items to be sent to the server),ECU serial number,3,3,153200,0,1,0x3ABF11,0x22,0xF18C,,0,3,-1,2,-1,-1,-1,,,,,,,,,[]
Actuator Test,1,VSP SPEAKER,1,1,54,61,1,0x3ABF11,0x30,0x1,,0,3,1,2,-1,-1,-1,,,,,,,,,[]
Actuator Test,1,-1,2,2,55,0,1,0x3ABF11,0x30,0x1,,,,,,,,,,,,,,,,,[]
Actuator Test,1,-1,3,3,56,0,1,0x3ABF11,0x30,0x1,,0,2,1,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Actuator Test,2,VSP OFF INDICATOR,1,1,57,62,1,0x3ABF11,0x30,0x3,,0,3,1,2,-1,-1,-1,,,,,,,,,[]
Actuator Test,2,-1,2,2,58,0,1,0x3ABF11,0x30,0x3,,,,,,,,,,,,,,,,,[]
Actuator Test,2,-1,3,3,59,0,1,0x3ABF11,0x30,0x3,,0,2,1,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Actuator Test,1,,,,,,,0x3ABF11,,,,,,,,,,,,,,,,,,,[]
Actuator Test,2,,,,,,,0x3ABF11,,,,,,,,,,,,,,,,,,,[]
Setting change,3,VSP sound pressure level change,1,1,60,0,1,0x3ABF11,0x3B,0x2,,0,2,3,2,-1,-1,-1,,,,,,,,,[]
