function,group,item,no,no_nas,qual_id,su_qual_id,visible,skey_sid_hex,qual_sid_hex,qual_lid_hex,param_unit,param_data_type,param_byte_pos,param_byte_len,param_byte_ord,param_bit_pos,param_bit_len,param_bit_mask,scale_no,scale_up_bound,scale_low_bound,scale_range_id,scale_range_label,scale_factor,scale_offset,scale_format,scale_labels
Data List,All data,COMPUTER INTERNAL TEMPERATURE,1,4,2,0,1,0x78FFE4E9,0x22,0x10E,°C,0,3,1,2,-1,-1,-1,1,0,0,0,,1,-40,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,DETECTED OBJECT,2,6,3,0,1,0x78FFE4E9,0x22,0x102,,0,3,1,2,-1,-1,-1,1,0,0,8000493,UNAVAILABLE,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 8000493, 'range_label': 'UNAVAILABLE'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 3000253, 'range_label': 'No'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 3000254, 'range_label': 'Yes'}, {'no': 4, 'up_bound': 255, 'low_bound': 3, 'range_id': 7001062, 'range_label': 'Inactive'}]"
Data List,All data,DETECTED PHONE,3,7,4,0,1,0x78FFE4E9,0x22,0x103,,0,3,1,2,-1,-1,-1,1,0,0,8000493,UNAVAILABLE,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 8000493, 'range_label': 'UNAVAILABLE'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 3000253, 'range_label': 'No'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 3000254, 'range_label': 'Yes'}, {'no': 4, 'up_bound': 255, 'low_bound': 3, 'range_id': 7001062, 'range_label': 'Inactive'}]"
Data List,All data,PRESENCE OF FOREIGN OBJECT(S),4,19,5,0,1,0x78FFE4E9,0x22,0x109,,0,3,1,2,-1,-1,-1,1,0,0,8000493,UNAVAILABLE,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 8000493, 'range_label': 'UNAVAILABLE'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 3000253, 'range_label': 'No'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 3000254, 'range_label': 'Yes'}, {'no': 4, 'up_bound': 255, 'low_bound': 3, 'range_id': 7001062, 'range_label': 'Inactive'}]"
Data List,All data,Diagnosis ID,5,8,6,0,1,0x78FFE4E9,0x22,0x100,,0,3,1,2,-1,-1,-1,1,0,0,8000493,UNAVAILABLE,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 8000493, 'range_label': 'UNAVAILABLE'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 7001063, 'range_label': 'Driver'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 7001064, 'range_label': 'Passenger'}, {'no': 4, 'up_bound': 255, 'low_bound': 3, 'range_id': 7001062, 'range_label': 'Inactive'}]"
Data List,All data,WCBS Power State,6,25,7,0,1,0x78FFE4E9,0x22,0x101,,0,3,1,2,-1,-1,-1,1,0,0,8000493,UNAVAILABLE,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 8000493, 'range_label': 'UNAVAILABLE'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 3000254, 'range_label': 'Yes'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 3000253, 'range_label': 'No'}, {'no': 4, 'up_bound': 255, 'low_bound': 3, 'range_id': 7001062, 'range_label': 'Inactive'}]"
Data List,All data,Charging State,7,2,8,0,1,0x78FFE4E9,0x22,0x104,,0,3,1,2,-1,-1,-1,1,0,0,8000493,UNAVAILABLE,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 8000493, 'range_label': 'UNAVAILABLE'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 8000494, 'range_label': 'UNCHARGING'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 8000481, 'range_label': 'LP CHARGING'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 8000483, 'range_label': 'MP CHARGING'}, {'no': 5, 'up_bound': 255, 'low_bound': 4, 'range_id': 7001062, 'range_label': 'Inactive'}]"
Data List,All data,Hardware Version,8,12,9,0,1,0x78FFE4E9,0x22,0x105,,0,3,1,2,-1,-1,-1,1,0,0,7000760,Unknown,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 7000760, 'range_label': 'Unknown'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 8000495, 'range_label': 'v1.1'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 8000496, 'range_label': 'v1.2'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 8000497, 'range_label': 'v1.3'}, {'no': 5, 'up_bound': 4, 'low_bound': 4, 'range_id': 8000498, 'range_label': 'v1.4'}, {'no': 6, 'up_bound': 5, 'low_bound': 5, 'range_id': 8000499, 'range_label': 'v1.5'}, {'no': 7, 'up_bound': 6, 'low_bound': 6, 'range_id': 8000500, 'range_label': 'v1.6'}, {'no': 8, 'up_bound': 7, 'low_bound': 7, 'range_id': 8000501, 'range_label': 'v1.7'}, {'no': 9, 'up_bound': 8, 'low_bound': 8, 'range_id': 8000502, 'range_label': 'v1.8'}, {'no': 10, 'up_bound': 9, 'low_bound': 9, 'range_id': 8000503, 'range_label': 'v1.9'}, {'no': 11, 'up_bound': 10, 'low_bound': 10, 'range_id': 8000504, 'range_label': 'v2.0'}, {'no': 12, 'up_bound': 11, 'low_bound': 11, 'range_id': 8000505, 'range_label': 'v2.1'}, {'no': 13, 'up_bound': 12, 'low_bound': 12, 'range_id': 8000506, 'range_label': 'v2.2'}, {'no': 14, 'up_bound': 13, 'low_bound': 13, 'range_id': 8000507, 'range_label': 'v2.3'}, {'no': 15, 'up_bound': 14, 'low_bound': 14, 'range_id': 8000508, 'range_label': 'v2.4'}, {'no': 16, 'up_bound': 15, 'low_bound': 15, 'range_id': 8000509, 'range_label': 'v2.5'}, {'no': 17, 'up_bound': 255, 'low_bound': 16, 'range_id': 7001062, 'range_label': 'Inactive'}]"
Data List,All data,Receiver ChargingIC ID,9,22,10,0,1,0x78FFE4E9,0x22,0x106,,0,3,4,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Manufacturer of receiver's charging IC,10,15,11,0,1,0x78FFE4E9,0x22,0x107,,0,3,1,2,-1,-1,-1,1,0,0,7000760,Unknown,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 7000760, 'range_label': 'Unknown'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 8000491, 'range_label': 'Samsung'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 8000480, 'range_label': 'LGE'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 8000484, 'range_label': 'Nokia'}, {'no': 5, 'up_bound': 4, 'low_bound': 4, 'range_id': 8000482, 'range_label': 'motorola'}, {'no': 6, 'up_bound': 5, 'low_bound': 5, 'range_id': 8000474, 'range_label': 'Apple'}, {'no': 7, 'up_bound': 6, 'low_bound': 6, 'range_id': 8100022, 'range_label': 'Others'}, {'no': 8, 'up_bound': 255, 'low_bound': 7, 'range_id': 7001062, 'range_label': 'Inactive'}]"
Data List,All data,Charging Standard Receiver Version,11,1,12,0,1,0x78FFE4E9,0x22,0x108,,0,3,1,2,-1,-1,-1,1,0,0,7000760,Unknown,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 7000760, 'range_label': 'Unknown'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 8000510, 'range_label': 'WPC 1.0'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 8000511, 'range_label': 'WPC 1.1'}, {'no': 4, 'up_bound': 3, 'low_bound': 3, 'range_id': 8000512, 'range_label': 'WPC 1.2'}, {'no': 5, 'up_bound': 4, 'low_bound': 4, 'range_id': 8000513, 'range_label': 'WPC x.x'}, {'no': 6, 'up_bound': 5, 'low_bound': 5, 'range_id': 8000488, 'range_label': 'PMA'}, {'no': 7, 'up_bound': 6, 'low_bound': 6, 'range_id': 8000473, 'range_label': 'A4WP'}, {'no': 8, 'up_bound': 255, 'low_bound': 7, 'range_id': 7001062, 'range_label': 'Inactive'}]"
Data List,All data,Voltage of charging coil,12,24,13,0,1,0x78FFE4E9,0x22,0x10A,V,0,3,1,2,-1,-1,-1,1,0,0,0,,0.2,0,1,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Current of charging coil,13,5,14,0,1,0x78FFE4E9,0x22,0x10B,A,0,3,1,2,-1,-1,-1,1,0,0,0,,0.05,0,2,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Input voltage,14,14,15,0,1,0x78FFE4E9,0x22,0x10C,V,0,3,1,2,-1,-1,-1,1,0,0,0,,0.2,0,1,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Input current,15,13,16,0,1,0x78FFE4E9,0x22,0x10D,A,0,3,1,2,-1,-1,-1,1,0,0,0,,0.05,0,2,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Power consumption of charger,16,17,17,0,1,0x78FFE4E9,0x22,0x10F,W,0,3,1,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Received power reported by receiver,17,21,18,0,1,0x78FFE4E9,0x22,0x110,W,0,3,1,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Power loss between charger and receiver,18,18,19,0,1,0x78FFE4E9,0x22,0x111,W,0,3,1,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Charging Time,19,3,20,0,1,0x78FFE4E9,0x22,0x112,min,0,3,1,2,-1,-1,-1,1,0,0,0,,1,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 0, 'range_label': None}]"
Data List,All data,Disconnection of charging coil,20,9,21,0,1,0x78FFE4E9,0x22,0x113,,0,3,1,2,-1,-1,-1,1,0,0,8000493,UNAVAILABLE,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 8000493, 'range_label': 'UNAVAILABLE'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 3000253, 'range_label': 'No'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 3000254, 'range_label': 'Yes'}, {'no': 4, 'up_bound': 255, 'low_bound': 3, 'range_id': 7001062, 'range_label': 'Inactive'}]"
Data List,All data,Memory fault,21,20,22,0,1,0x78FFE4E9,0x22,0x114,,0,3,1,2,-1,-1,-1,1,0,0,8000493,UNAVAILABLE,0,0,0,"[{'no': 1, 'up_bound': 0, 'low_bound': 0, 'range_id': 8000493, 'range_label': 'UNAVAILABLE'}, {'no': 2, 'up_bound': 1, 'low_bound': 1, 'range_id': 3000253, 'range_label': 'No'}, {'no': 3, 'up_bound': 2, 'low_bound': 2, 'range_id': 3000254, 'range_label': 'Yes'}, {'no': 4, 'up_bound': 255, 'low_bound': 3, 'range_id': 7001062, 'range_label': 'Inactive'}]"
