sid,mut_class,app_flag,rx_can_id,tx_can_id,ecu_id,ecu_name
17398,4360001,2,7C9,7C3,436,ADAS_N0000201
17498,3590001,2,7BA,7B7,359,AVM_N0000002
17500,3530001,2,765,745,353,BCM_N0000003
17600,3770001,2,18DAF115,18DA15F1,377,HECM_N0000001
17800,3490001,2,735,723,349,RADAR_N0000001
17900,3450001,2,764,744,345,HVAC_A_N0000002
18000,3460001,2,772,752,346,ACU_N0000001
18100,4040001,2,700,70C,404,CDM_N0000002
18300,3560001,2,76D,74D,356,USM_N0000002
18400,4390001,2,18DAF12D,18DA2DF1,439,ABSVDC_N0000202
18600,3410001,2,762,742,341,EPS_N0000002
18700,3470001,2,7DD,7DC,347,FRCAMERA_N0000003
18800,3520001,2,763,743,352,MTR_H_N0000001
18998,4010001,2,76E,74E,401,SONAR_N0000004
19000,3540001,2,7B9,799,354,HFM_N0000002
19100,3550001,2,18DAF1D4,18DAD4F1,355,CGW_N0000001
19600,3420001,2,733,713,342,PBD_N0000001
19800,3440001,2,76F,74F,344,DSMU_N0000001
19900,3570001,2,7A2,782,357,AUDIO_AMP_N0000001
20000,3580001,2,18DAF160,18DA60F1,358,HUD_N0000001
20100,3600001,2,767,747,360,A_IVI_N0000001
20200,3610001,2,7DA,7CA,361,IVC_N0000001
20300,3620001,2,7AD,7AA,362,WCBS_N0000001
20500,3640001,2,73E,73D,364,SIDE_RADAR_L_N0000001
20600,3650001,2,7D5,7D4,365,SIDE_RADAR_R_N0000001
20800,3700001,2,736,716,370,PSCU_N0000001
20900,3710001,2,18DAF1DB,18DADBF1,371,BMS_N0000001
21000,3720001,2,18DAF1DC,18DADCF1,372,BMS2_N0000001
21100,3730001,2,18DAF1DE,18DADEF1,373,OBC_N0000001
21200,3740001,2,18DAF1DD,18DADDF1,374,DCDC_N0000001
21300,3750001,2,7BD,79D,375,E_PARK_N0000001
21600,3780001,2,18DAF1DA,18DADAF1,378,HEVC_N0000001
21700,3790001,2,18DAF198,18DA98F1,379,HVAC2_N0000001
21800,3800001,2,18DAF1DF,18DADFF1,380,PDU_N0000001
21900,3810001,2,18DAF1E5,18DAE5F1,381,RMCU_N0000001
22200,3840002,2,18DAF1E2,18DAE2F1,384,EBA_N0000001
22300,3850001,2,761,73F,385,VSP_N0000001
22400,3860001,2,18DAF2D7,18DAD7F2,386,CSCM_N0000001
22800,3920001,2,18DAF271,18DA71F2,392,ADB_N0000002
